ContractNumber,ContractType,GroupNumber,EffectiveDate,ExpirationDate,RenewalDate,PolicyID,CustomerSSN
CNT-CDP-0291-814,Family,GRP-850708,11/2/2020,11/2/2021,4/1/2022,CDP-CHS-501036,490-64-8020
CNT-CDP-7398-586,Group,GRP-366026,3/11/2020,3/11/2021,7/30/2021,CDP-RWP-867534,485-56-3024
CNT-CDP-0402-822,Family,GRP-343233,6/4/2020,6/4/2021,7/25/2021,CDP-NC-355709,758-26-9883
CNT-CDP-0393-666,Group,GRP-503891,5/13/2020,5/13/2021,,CDP-ADS-864979,402-80-4525
CNT-CDP-5102-868,Family,GRP-179656,9/21/2020,9/21/2021,6/8/2022,CDP-RCA-783875,421-25-3301
CNT-CDP-6396-007,Group,GRP-388520,2/14/2020,2/13/2021,12/25/2021,CDP-BJHP-038233,571-01-2642
CNT-CDP-5916-742,Individual,GRP-130733,7/12/2020,7/12/2021,1/26/2022,CDP-CCC-228385,400-21-1001
CNT-CDP-6364-449,Family,GRP-611995,12/27/2020,12/27/2021,,CDP-CDCP-171336,343-73-0877
CNT-CDP-6785-016,Individual,GRP-330868,6/28/2020,6/28/2021,6/10/2022,CDP-CHS-501036,720-50-1776
CNT-CDP-1975-973,Group,GRP-846305,2/28/2020,2/27/2021,7/23/2021,CDP-RWP-867534,569-98-8973
CNT-CDP-2048-565,Group,GRP-550620,8/16/2020,8/16/2021,,CDP-NC-355709,612-65-7466
CNT-CDP-3954-692,Family,GRP-212387,1/31/2020,1/30/2021,,CDP-ADS-864979,122-82-0920
CNT-CDP-0288-826,Family,GRP-150515,12/1/2020,12/1/2021,,CDP-RCA-783875,803-89-9048
CNT-CDP-8710-618,Individual,GRP-414491,4/11/2020,4/11/2021,1/3/2022,CDP-BJHP-038233,527-90-6987
CNT-CDP-3189-138,Family,GRP-813991,7/22/2020,7/22/2021,,CDP-CCC-228385,389-16-9961
CNT-CDP-6048-253,Family,GRP-298883,3/22/2020,3/22/2021,,CDP-CDCP-171336,598-47-0008
CNT-CDP-1945-250,Family,GRP-094670,9/4/2020,9/4/2021,,CDP-CHS-501036,200-03-6558
CNT-CDP-1835-451,Family,GRP-582100,7/20/2020,7/20/2021,6/21/2022,CDP-RWP-867534,404-02-1511
CNT-CDP-6461-353,Family,GRP-401844,2/22/2020,2/21/2021,4/12/2021,CDP-NC-355709,527-99-2794
CNT-CDP-4025-134,Family,GRP-843688,3/31/2020,3/31/2021,,CDP-ADS-864979,657-47-2248
CNT-CDP-4868-700,Group,GRP-924405,6/3/2020,6/3/2021,11/15/2021,CDP-RCA-783875,839-58-2834
CNT-CDP-2922-987,Individual,GRP-086523,10/12/2020,10/12/2021,,CDP-BJHP-038233,696-66-8047
CNT-CDP-1708-875,Group,GRP-464442,4/24/2020,4/24/2021,5/13/2021,CDP-CCC-228385,653-48-2778
CNT-CDP-1435-185,Family,GRP-242337,6/15/2020,6/15/2021,,CDP-CDCP-171336,659-84-4620
CNT-CDP-2610-339,Group,GRP-687760,4/25/2020,4/25/2021,,CDP-CHS-501036,399-02-7593
CNT-CDP-4112-553,Group,GRP-986036,3/17/2020,3/17/2021,4/6/2021,CDP-RWP-867534,839-73-6465
CNT-CDP-0376-223,Group,GRP-582664,11/15/2020,11/15/2021,8/26/2022,CDP-NC-355709,240-36-3667
CNT-CDP-1528-993,Group,GRP-148147,4/25/2020,4/25/2021,5/5/2021,CDP-ADS-864979,305-32-7126
CNT-CDP-1135-832,Group,GRP-830330,12/5/2020,12/5/2021,8/19/2022,CDP-RCA-783875,585-54-3079
CNT-CDP-3541-609,Family,GRP-335492,12/2/2020,12/2/2021,3/27/2022,CDP-BJHP-038233,814-90-5059
CNT-CDP-5615-634,Group,GRP-438306,4/16/2020,4/16/2021,11/19/2021,CDP-CCC-228385,395-52-7205
CNT-CDP-2923-354,Family,GRP-016185,11/20/2020,11/20/2021,7/24/2022,CDP-CDCP-171336,527-99-2794
CNT-CDP-3374-099,Individual,GRP-668988,10/31/2020,10/31/2021,2/11/2022,CDP-CHS-501036,438-17-9370
CNT-CDP-5068-733,Individual,GRP-525697,12/11/2020,12/11/2021,2/20/2022,CDP-RWP-867534,234-43-4033
CNT-CDP-7959-985,Group,GRP-300409,4/14/2020,4/14/2021,5/21/2021,CDP-NC-355709,159-60-4499
CNT-CDP-0206-644,Group,GRP-539082,5/14/2020,5/14/2021,5/18/2021,CDP-ADS-864979,429-65-7811
CNT-CDP-1642-014,Individual,GRP-403079,2/12/2020,2/11/2021,3/1/2021,CDP-RCA-783875,339-05-1707
CNT-CDP-7767-366,Individual,GRP-056360,7/12/2020,7/12/2021,7/8/2022,CDP-BJHP-038233,522-74-5310
CNT-CDP-4071-313,Group,GRP-689778,7/13/2020,7/13/2021,2/3/2022,CDP-CCC-228385,394-39-8605
CNT-CDP-1352-509,Family,GRP-702641,3/2/2020,3/2/2021,7/2/2021,CDP-CDCP-171336,239-46-5126
CNT-CDP-1271-220,Individual,GRP-448461,10/29/2020,10/29/2021,9/5/2022,CDP-CHS-501036,405-95-7014
CNT-CDP-5477-402,Individual,GRP-527355,9/21/2020,9/21/2021,,CDP-RWP-867534,332-50-8142
CNT-CDP-7978-668,Group,GRP-511319,2/3/2020,2/2/2021,5/11/2021,CDP-NC-355709,818-19-8936
CNT-CDP-4961-817,Family,GRP-109233,11/29/2020,11/29/2021,9/15/2022,CDP-ADS-864979,674-90-5210
CNT-CDP-8050-366,Family,GRP-804393,6/11/2020,6/11/2021,,CDP-RCA-783875,761-99-8936
CNT-CDP-6185-150,Group,GRP-353748,9/26/2020,9/26/2021,3/8/2022,CDP-BJHP-038233,235-15-1117
CNT-CDP-6655-090,Family,GRP-583593,4/6/2020,4/6/2021,7/26/2021,CDP-CCC-228385,537-76-4709
CNT-CDP-1642-307,Family,GRP-226542,4/24/2020,4/24/2021,,CDP-CDCP-171336,569-98-8973
CNT-CDP-4512-987,Family,GRP-516740,4/14/2020,4/14/2021,2/7/2022,CDP-CHS-501036,803-89-9048
CNT-CDP-3742-699,Family,GRP-533911,9/22/2020,9/22/2021,,CDP-RWP-867534,532-93-7617
CNT-CDP-8669-871,Group,GRP-095993,2/24/2020,2/23/2021,11/16/2021,CDP-NC-355709,754-98-7758
CNT-CDP-2212-507,Group,GRP-447035,9/15/2020,9/15/2021,7/30/2022,CDP-ADS-864979,607-63-5940
CNT-CDP-3509-463,Group,GRP-046079,7/14/2020,7/14/2021,,CDP-RCA-783875,675-06-9696
CNT-CDP-5083-233,Individual,GRP-821231,5/24/2020,5/24/2021,5/9/2022,CDP-BJHP-038233,432-40-6023
CNT-CDP-4771-659,Group,GRP-937046,9/26/2020,9/26/2021,,CDP-CCC-228385,355-88-3336
CNT-CDP-0965-714,Individual,GRP-509610,1/4/2020,1/3/2021,,CDP-CDCP-171336,675-38-5467
CNT-CDP-6776-498,Family,GRP-632115,9/16/2020,9/16/2021,,CDP-CHS-501036,794-04-1916
CNT-CDP-0300-151,Group,GRP-470288,7/1/2020,7/1/2021,2/5/2022,CDP-RWP-867534,618-65-3141
CNT-CDP-4710-088,Individual,GRP-985382,10/22/2020,10/22/2021,10/4/2022,CDP-NC-355709,145-72-3021
CNT-CDP-1106-486,Individual,GRP-249711,11/1/2020,11/1/2021,,CDP-ADS-864979,684-54-0608
CNT-CDP-9907-355,Individual,GRP-176636,5/23/2020,5/23/2021,11/13/2021,CDP-RCA-783875,516-04-6814
CNT-CDP-4085-411,Family,GRP-768257,3/4/2020,3/4/2021,5/12/2021,CDP-BJHP-038233,502-44-6250
CNT-CDP-2478-608,Group,GRP-579344,6/17/2020,6/17/2021,6/28/2021,CDP-CCC-228385,583-74-6686
CNT-CDP-8945-045,Family,GRP-298203,3/15/2020,3/15/2021,8/18/2021,CDP-CDCP-171336,194-32-2924
CNT-CDP-1152-783,Group,GRP-621584,11/29/2020,11/29/2021,11/23/2022,CDP-CHS-501036,891-27-9474
CNT-CDP-8711-127,Family,GRP-597506,8/14/2020,8/14/2021,6/17/2022,CDP-RWP-867534,483-11-4619
CNT-CDP-3821-674,Group,GRP-789330,8/19/2020,8/19/2021,8/7/2022,CDP-NC-355709,309-18-0710
CNT-CDP-1434-089,Group,GRP-807447,5/24/2020,5/24/2021,,CDP-ADS-864979,842-64-0009
CNT-CDP-0090-492,Family,GRP-076579,7/21/2020,7/21/2021,5/18/2022,CDP-RCA-783875,460-07-2521
CNT-CDP-9534-035,Individual,GRP-464883,1/13/2020,1/12/2021,6/20/2021,CDP-BJHP-038233,286-71-0755
CNT-CDP-2232-683,Group,GRP-434977,3/17/2020,3/17/2021,,CDP-CCC-228385,615-23-7295
CNT-CDP-2122-869,Individual,GRP-020924,6/2/2020,6/2/2021,,CDP-CDCP-171336,784-23-9227
CNT-CDP-0069-374,Individual,GRP-208608,7/17/2020,7/17/2021,4/11/2022,CDP-CHS-501036,253-85-8722
CNT-CDP-9006-328,Individual,GRP-895594,8/18/2020,8/18/2021,11/25/2021,CDP-RWP-867534,236-74-4042
CNT-CDP-1709-906,Group,GRP-067774,11/22/2020,11/22/2021,11/26/2021,CDP-NC-355709,348-05-7506
CNT-CDP-6853-799,Individual,GRP-914447,11/15/2020,11/15/2021,8/10/2022,CDP-ADS-864979,369-01-4000
CNT-CDP-4238-598,Individual,GRP-850383,1/10/2020,1/9/2021,,CDP-RCA-783875,646-41-5274
CNT-CDP-0887-483,Individual,GRP-377472,8/22/2020,8/22/2021,9/11/2021,CDP-BJHP-038233,571-27-8259
CNT-CDP-5005-153,Group,GRP-288015,8/18/2020,8/18/2021,,CDP-CCC-228385,497-94-2225
CNT-CDP-0152-682,Individual,GRP-357689,11/27/2020,11/27/2021,7/6/2022,CDP-CDCP-171336,399-02-7593
CNT-CDP-4954-947,Group,GRP-696424,7/5/2020,7/5/2021,1/4/2022,CDP-CHS-501036,682-15-3715
CNT-CDP-1824-562,Family,GRP-478060,4/5/2020,4/5/2021,8/2/2021,CDP-RWP-867534,191-15-6591
CNT-CDP-9688-417,Family,GRP-190989,8/2/2020,8/2/2021,10/16/2021,CDP-NC-355709,869-20-0883
CNT-CDP-6186-446,Individual,GRP-179118,5/15/2020,5/15/2021,3/31/2022,CDP-ADS-864979,395-52-7205
CNT-CDP-0883-374,Group,GRP-115317,5/21/2020,5/21/2021,6/22/2021,CDP-RCA-783875,804-60-1290
CNT-CDP-6703-032,Individual,GRP-913848,3/14/2020,3/14/2021,11/8/2021,CDP-BJHP-038233,611-49-6271
CNT-CDP-3341-975,Group,GRP-334866,9/16/2020,9/16/2021,,CDP-CCC-228385,888-60-2700
CNT-CDP-2588-283,Family,GRP-099470,8/25/2020,8/25/2021,,CDP-CDCP-171336,420-65-0039
CNT-CDP-2116-290,Individual,GRP-672275,12/28/2020,12/28/2021,12/20/2022,CDP-CHS-501036,523-82-8204
CNT-CDP-3750-460,Individual,GRP-452237,6/23/2020,6/23/2021,,CDP-RWP-867534,436-44-7581
CNT-CDP-6101-976,Individual,GRP-291228,3/20/2020,3/20/2021,,CDP-NC-355709,770-97-2845
CNT-CDP-7991-575,Family,GRP-367644,9/3/2020,9/3/2021,1/18/2022,CDP-ADS-864979,358-44-0561
CNT-CDP-1503-699,Family,GRP-545059,5/29/2020,5/29/2021,,CDP-RCA-783875,153-73-4832
CNT-CDP-1332-824,Group,GRP-723172,2/12/2020,2/11/2021,,CDP-BJHP-038233,261-11-1287
CNT-CDP-2934-125,Family,GRP-245780,7/11/2020,7/11/2021,12/14/2021,CDP-CCC-228385,523-80-3435
CNT-CDP-9973-106,Family,GRP-808274,7/10/2020,7/10/2021,8/15/2021,CDP-CDCP-171336,458-86-6572
CNT-CDP-8971-863,Individual,GRP-992253,12/5/2020,12/5/2021,5/14/2022,CDP-CHS-501036,297-67-6147
CNT-CDP-9461-087,Family,GRP-527385,6/30/2020,6/30/2021,,CDP-RWP-867534,410-82-3708
CNT-CDP-5224-503,Individual,GRP-877208,11/27/2020,11/27/2021,,CDP-NC-355709,429-21-6288
CNT-CDP-2586-072,Family,GRP-291342,9/21/2020,9/21/2021,4/8/2022,CDP-ADS-864979,836-04-2999
CNT-CDP-0453-769,Individual,GRP-251860,6/20/2020,6/20/2021,3/2/2022,CDP-RCA-783875,769-30-2685
CNT-CDP-8825-295,Family,GRP-153682,8/24/2020,8/24/2021,12/24/2021,CDP-BJHP-038233,794-04-1916
CNT-CDP-8743-030,Individual,GRP-211485,9/2/2020,9/2/2021,3/4/2022,CDP-CCC-228385,112-96-8059
CNT-CDP-8399-261,Family,GRP-313464,12/8/2020,12/8/2021,,CDP-CDCP-171336,420-93-0043
CNT-CDP-4246-537,Group,GRP-413618,4/23/2020,4/23/2021,,CDP-CHS-501036,443-29-7883
CNT-CDP-9203-822,Family,GRP-374621,12/22/2020,12/22/2021,4/22/2022,CDP-RWP-867534,622-30-1101
CNT-CDP-2268-140,Group,GRP-446199,4/2/2020,4/2/2021,6/9/2021,CDP-NC-355709,571-01-2642
CNT-CDP-5274-895,Family,GRP-190036,11/27/2020,11/27/2021,11/9/2022,CDP-ADS-864979,417-81-9390
CNT-CDP-4879-954,Family,GRP-618565,6/2/2020,6/2/2021,,CDP-RCA-783875,478-48-7443
CNT-CDP-0439-088,Group,GRP-603369,7/27/2020,7/27/2021,4/20/2022,CDP-BJHP-038233,483-35-2656
CNT-CDP-3309-004,Group,GRP-055843,10/30/2020,10/30/2021,5/3/2022,CDP-CCC-228385,727-05-3994
CNT-CDP-2535-634,Family,GRP-396322,12/7/2020,12/7/2021,9/2/2022,CDP-CDCP-171336,281-62-2599
CNT-CDP-6459-645,Individual,GRP-240420,4/10/2020,4/10/2021,3/28/2022,CDP-CHS-501036,292-80-3409
CNT-CDP-0155-591,Family,GRP-090930,12/2/2020,12/2/2021,,CDP-RWP-867534,691-17-3387
CNT-CDP-7985-097,Individual,GRP-955289,12/12/2020,12/12/2021,10/21/2022,CDP-NC-355709,429-65-7811
CNT-CDP-8511-813,Individual,GRP-398023,11/12/2020,11/12/2021,,CDP-ADS-864979,283-48-1886
CNT-CDP-1305-765,Individual,GRP-532275,8/2/2020,8/2/2021,2/2/2022,CDP-RCA-783875,521-61-8005
CNT-CDP-4523-793,Individual,GRP-913296,4/12/2020,4/12/2021,4/9/2022,CDP-BJHP-038233,667-87-5585
CNT-CDP-1201-052,Group,GRP-190968,12/18/2020,12/18/2021,6/20/2022,CDP-CCC-228385,815-75-7291
CNT-CDP-1231-632,Group,GRP-587976,10/14/2020,10/14/2021,5/3/2022,CDP-CDCP-171336,348-41-6467
CNT-CDP-1601-529,Group,GRP-120992,7/24/2020,7/24/2021,11/4/2021,CDP-CHS-501036,823-65-3803
CNT-CDP-4692-704,Family,GRP-350872,10/24/2020,10/24/2021,,CDP-RWP-867534,137-73-4935
CNT-CDP-4000-078,Individual,GRP-359978,11/29/2020,11/29/2021,,CDP-NC-355709,205-47-8030
CNT-CDP-4388-561,Individual,GRP-855356,11/14/2020,11/14/2021,4/27/2022,CDP-ADS-864979,772-58-7916
CNT-CDP-8617-798,Family,GRP-788185,11/11/2020,11/11/2021,4/7/2022,CDP-RCA-783875,444-30-5228
CNT-CDP-4443-151,Individual,GRP-389402,8/23/2020,8/23/2021,,CDP-BJHP-038233,810-21-7607
CNT-CDP-3737-853,Individual,GRP-641594,2/20/2020,2/19/2021,6/14/2021,CDP-CCC-228385,523-80-3435
CNT-CDP-5422-451,Family,GRP-735798,7/4/2020,7/4/2021,3/4/2022,CDP-CDCP-171336,242-74-5241
CNT-CDP-3895-588,Group,GRP-863237,11/22/2020,11/22/2021,,CDP-CHS-501036,364-43-2698
CNT-CDP-3314-074,Individual,GRP-139639,7/10/2020,7/10/2021,,CDP-RWP-867534,485-56-3024
CNT-CDP-7938-639,Group,GRP-306476,3/2/2020,3/2/2021,,CDP-NC-355709,307-44-4074
CNT-CDP-4429-498,Group,GRP-454081,2/8/2020,2/7/2021,,CDP-ADS-864979,671-27-4240
CNT-CDP-9110-684,Individual,GRP-956519,8/9/2020,8/9/2021,9/21/2021,CDP-RCA-783875,305-25-5939
CNT-CDP-1347-834,Family,GRP-998494,5/6/2020,5/6/2021,4/6/2022,CDP-BJHP-038233,696-66-8047
CNT-CDP-0545-748,Individual,GRP-895029,10/7/2020,10/7/2021,8/15/2022,CDP-CCC-228385,663-87-5520
CNT-CDP-4631-613,Family,GRP-707656,5/8/2020,5/8/2021,8/4/2021,CDP-CDCP-171336,408-40-5165
CNT-CDP-7487-651,Family,GRP-492463,3/25/2020,3/25/2021,,CDP-CHS-501036,307-13-0638
CNT-CDP-9812-999,Group,GRP-195919,3/13/2020,3/13/2021,12/16/2021,CDP-RWP-867534,757-73-4552
CNT-CDP-7619-646,Group,GRP-953908,12/28/2020,12/28/2021,3/1/2022,CDP-NC-355709,742-02-5983
CNT-CDP-5599-542,Group,GRP-706583,4/17/2020,4/17/2021,1/10/2022,CDP-ADS-864979,172-85-1067
CNT-CDP-4874-154,Family,GRP-125172,3/14/2020,3/14/2021,8/4/2021,CDP-RCA-783875,130-44-9143
CNT-CDP-9508-453,Individual,GRP-693619,5/28/2020,5/28/2021,3/18/2022,CDP-BJHP-038233,556-84-2140
CNT-CDP-1323-668,Group,GRP-895643,11/30/2020,11/30/2021,3/12/2022,CDP-CCC-228385,146-24-4332
CNT-CDP-9194-620,Individual,GRP-677094,10/12/2020,10/12/2021,2/23/2022,CDP-CDCP-171336,235-15-1117
CNT-CDP-1358-438,Group,GRP-166199,2/23/2020,2/22/2021,7/2/2021,CDP-CHS-501036,492-69-2793
CNT-CDP-9035-645,Family,GRP-138180,7/2/2020,7/2/2021,,CDP-RWP-867534,611-29-2776
CNT-CDP-3408-470,Individual,GRP-554005,2/16/2020,2/15/2021,5/25/2021,CDP-NC-355709,831-61-9528
CNT-CDP-1087-196,Individual,GRP-184905,7/8/2020,7/8/2021,7/18/2021,CDP-ADS-864979,726-09-9498
CNT-CDP-1533-827,Group,GRP-210547,7/7/2020,7/7/2021,9/11/2021,CDP-RCA-783875,159-80-8720
CNT-CDP-3633-103,Individual,GRP-453534,1/2/2020,1/1/2021,4/8/2021,CDP-BJHP-038233,767-53-8839
CNT-CDP-6380-002,Family,GRP-582283,7/17/2020,7/17/2021,10/4/2021,CDP-CCC-228385,382-44-9399
CNT-CDP-7568-735,Group,GRP-644100,2/10/2020,2/9/2021,5/15/2021,CDP-CDCP-171336,875-38-2089
CNT-CDP-9959-328,Group,GRP-589080,7/22/2020,7/22/2021,6/24/2022,CDP-CHS-501036,309-64-6753
CNT-CDP-3925-618,Family,GRP-701225,4/19/2020,4/19/2021,,CDP-RWP-867534,213-16-0758
CNT-CDP-1451-468,Family,GRP-129116,2/5/2020,2/4/2021,,CDP-NC-355709,472-69-9538
CNT-CDP-5492-471,Family,GRP-390496,4/19/2020,4/19/2021,3/3/2022,CDP-ADS-864979,549-08-3325
CNT-CDP-6274-187,Family,GRP-819589,1/8/2020,1/7/2021,8/17/2021,CDP-RCA-783875,397-69-2805
CNT-CDP-8572-047,Family,GRP-090172,5/31/2020,5/31/2021,11/18/2021,CDP-BJHP-038233,122-55-4301
CNT-CDP-2082-812,Group,GRP-915151,9/20/2020,9/20/2021,,CDP-CCC-228385,441-45-4434
CNT-CDP-5301-473,Individual,GRP-316610,9/30/2020,9/30/2021,5/9/2022,CDP-CDCP-171336,435-10-4849
CNT-CDP-7486-471,Group,GRP-332384,8/11/2020,8/11/2021,6/16/2022,CDP-CHS-501036,320-72-8082
CNT-CDP-4697-553,Individual,GRP-927891,5/1/2020,5/1/2021,8/16/2021,CDP-RWP-867534,748-18-5529
CNT-CDP-1024-207,Group,GRP-049014,5/20/2020,5/20/2021,5/26/2021,CDP-NC-355709,111-33-2433
CNT-CDP-4596-518,Group,GRP-246938,1/28/2020,1/27/2021,,CDP-ADS-864979,380-53-0116
