ClaimNumber,DateOfService,DateOfClaim,SettlementDate,ClaimDescription,ClaimAmount,ClaimStatus,ParticipantSSN,ContractNumber
CLM-6812-172709,7/8/2011,11/1/2014,10/12/2020,Glaucoma intraocular pressure check,39240425.13,In Appeal,441-82-5743,CNT-CDP-4726-769
CLM-2444-210895,10/5/2020,7/31/2022,11/19/2022,Asthma inhaler refill and lung function test,94559996.79,Closed,339-45-9534,CNT-CDP-0498-818
CLM-3610-082749,10/3/2013,1/21/2019,11/27/2019,Rheumatoid arthritis joint assessment,66945225.63,In Appeal,152-46-1904,CNT-CDP-7896-678
CLM-2861-483404,10/31/2019,7/7/2021,5/11/2024,Asthma inhaler refill and lung function test,51424984.38,Approved,788-05-2536,CNT-CDP-7552-534
CLM-9451-742446,4/5/2019,12/5/2023,7/15/2020,Asthma inhaler refill and lung function test,65276342.53,Reopened,505-82-3391,CNT-CDP-4697-713
CLM-5478-965002,10/20/2013,10/1/2019,1/16/2024,Rheumatoid arthritis joint assessment,7932148.9,Denied,699-82-8157,CNT-CDP-8624-324
CLM-2614-874004,10/27/2020,10/2/2022,11/5/2022,Thyroid hormone level check for hypothyroidism,88403457.8,Pending Additional Information,237-11-9037,CNT-CDP-4908-175
CLM-9565-616220,10/22/2013,2/10/2021,5/17/2016,Chronic kidney disease dialysis session,12066642.73,In Review,388-51-5129,CNT-CDP-9250-207
CLM-0784-103771,3/12/2021,7/18/2021,3/31/2021,Psoriasis phototherapy session,29344939.01,Reopened,790-82-9647,CNT-CDP-6376-598
CLM-9606-352966,12/2/2014,11/21/2017,11/26/2019,Sickle cell anemia pain management,65203595.98,Paid,468-53-0732,CNT-CDP-8598-484
CLM-4230-571403,2/18/2021,11/8/2022,9/11/2023,Osteoporosis bone density scan,21671879.7,In Appeal,581-70-2101,CNT-CDP-0291-814
CLM-1804-823896,9/23/2012,6/17/2021,12/2/2015,Chronic kidney disease dialysis session,10511228.53,Closed,400-86-0987,CNT-CDP-7398-586
CLM-8689-229161,1/13/2016,6/16/2018,4/19/2019,Prostate cancer PSA level check,47598039.81,In Appeal,357-96-8973,CNT-CDP-0402-822
CLM-3918-594072,6/2/2015,10/5/2016,9/12/2023,Hypertension medication adjustment,53859960.73,Approved,704-46-3149,CNT-CDP-0393-666
CLM-5871-590661,10/27/2011,1/2/2019,2/5/2014,Colorectal cancer follow-up colonoscopy,28123952.91,Closed,402-04-1740,CNT-CDP-5102-868
CLM-4509-286094,8/28/2013,5/11/2022,11/1/2018,Osteoporosis bone density scan,39708643.13,Denied,852-41-6011,CNT-CDP-6396-007
CLM-1902-282399,5/28/2019,1/25/2023,5/1/2024,Anxiety disorder cognitive behavioral therapy,52722028.98,In Appeal,765-73-2755,CNT-CDP-5916-742
CLM-4747-381020,3/6/2010,6/8/2024,1/31/2012,Celiac disease nutritional consultation,78228016.85,Denied,605-08-1681,CNT-CDP-6364-449
CLM-5055-460596,7/13/2021,5/21/2023,4/29/2023,Gout uric acid level monitoring,6803670.7,In Review,148-31-4035,CNT-CDP-6785-016
CLM-3745-444506,10/2/2015,3/5/2016,9/15/2017,Glaucoma intraocular pressure check,91951855.04,Partially Approved,339-34-8294,CNT-CDP-1975-973
CLM-4046-105290,11/3/2013,1/9/2021,3/12/2019,Sleep apnea CPAP adjustment,73059112.23,Closed,157-06-2056,CNT-CDP-2048-565
CLM-3168-421670,9/18/2019,4/19/2020,8/28/2021,Atrial fibrillation anticoagulation check,74313366.39,Denied,619-64-9137,CNT-CDP-3954-692
CLM-5305-302868,8/21/2015,12/25/2017,11/3/2022,Prostate cancer PSA level check,67290035.2,Reopened,552-21-5045,CNT-CDP-0288-826
CLM-0727-071971,5/9/2014,3/21/2021,6/3/2020,Prostate cancer PSA level check,87407515.9,Closed,234-61-3814,CNT-CDP-8710-618
CLM-5807-697416,9/19/2019,2/13/2021,9/21/2021,Graves' disease thyroid function test,8232987.71,Pending Additional Information,349-34-1083,CNT-CDP-3189-138
CLM-0454-437496,2/28/2017,11/8/2020,4/26/2023,Chronic bronchitis pulmonary function test,79120600.3,Pending Additional Information,218-41-2069,CNT-CDP-6048-253
CLM-7992-684085,4/25/2015,8/20/2017,12/7/2015,Colorectal cancer follow-up colonoscopy,20521361.73,Reopened,616-39-1326,CNT-CDP-1945-250
CLM-3384-209462,10/17/2016,1/5/2018,1/27/2021,Sickle cell anemia pain management,7424745.49,Partially Approved,741-74-4629,CNT-CDP-1835-451
CLM-3722-331531,9/17/2019,6/27/2021,4/10/2023,Graves' disease thyroid function test,18935884.14,Pending Additional Information,403-78-0895,CNT-CDP-6461-353
CLM-3391-255986,6/13/2017,4/17/2021,3/1/2024,Schizophrenia antipsychotic injection,15790363.34,In Appeal,817-51-9364,CNT-CDP-4025-134
CLM-6239-478917,1/21/2016,6/29/2020,6/2/2024,Osteoarthritis joint injection,80651312.16,Submitted,644-96-8693,CNT-CDP-4868-700
CLM-4119-198712,9/2/2021,12/29/2023,1/31/2024,Breast cancer chemotherapy session,20129142.86,Approved,238-10-3000,CNT-CDP-2922-987
CLM-8014-962776,5/31/2015,12/14/2017,12/17/2018,Colorectal cancer follow-up colonoscopy,67610473.88,Pending Additional Information,238-99-0987,CNT-CDP-1708-875
CLM-4253-466104,4/15/2016,1/19/2023,6/7/2018,Hypertension medication adjustment,55054403.12,Approved,699-05-1228,CNT-CDP-1435-185
CLM-4566-288015,4/2/2018,11/7/2019,1/13/2020,HIV viral load testing,13882309.19,Submitted,638-96-6224,CNT-CDP-2610-339
CLM-4293-480240,8/7/2017,10/27/2022,3/26/2021,Multiple sclerosis neurological exam,41426258.79,Partially Approved,348-07-4008,CNT-CDP-4112-553
CLM-3628-813652,1/20/2017,6/2/2022,3/18/2021,Asthma inhaler refill and lung function test,85870847.24,Approved,468-64-7107,CNT-CDP-0376-223
CLM-1384-765156,3/25/2020,1/3/2024,5/29/2024,Celiac disease nutritional consultation,69615777.25,Closed,758-75-4989,CNT-CDP-1528-993
CLM-4382-143048,9/2/2021,10/4/2023,12/10/2022,Fibromyalgia pain management session,45794255.77,Approved,863-09-0505,CNT-CDP-1135-832
CLM-9896-437352,6/10/2018,6/9/2021,6/26/2018,Cystic fibrosis respiratory therapy,71294742.1,In Appeal,742-05-5655,CNT-CDP-3541-609
CLM-7949-569946,8/7/2013,6/1/2022,5/3/2020,Sickle cell anemia pain management,92629010.49,Closed,637-27-3403,CNT-CDP-5615-634
CLM-7259-756351,8/2/2018,8/5/2018,9/20/2023,Ulcerative colitis colonoscopy,54849290.96,In Review,677-88-6713,CNT-CDP-2923-354
CLM-5378-396796,12/13/2013,10/30/2015,10/21/2023,Gout uric acid level monitoring,36122110.31,In Appeal,773-33-1059,CNT-CDP-3374-099
CLM-7520-894654,2/10/2011,2/4/2012,9/18/2016,Glaucoma intraocular pressure check,80697382.72,Approved,741-21-6498,CNT-CDP-5068-733
CLM-3314-412835,9/22/2015,12/8/2015,10/18/2016,Fibromyalgia pain management session,48652329.14,Paid,794-74-9908,CNT-CDP-7959-985
CLM-0460-388595,7/1/2020,7/8/2021,6/26/2023,Congestive heart failure fluid balance check,47594866.11,Submitted,339-67-6006,CNT-CDP-0206-644
CLM-6328-016916,4/2/2015,4/5/2015,8/21/2017,Cirrhosis liver function tests,90378944.25,Submitted,319-69-2302,CNT-CDP-1642-014
CLM-7483-574604,10/19/2013,4/23/2015,5/24/2017,Parkinson's disease tremor assessment,63137504.22,Paid,385-63-4369,CNT-CDP-7767-366
CLM-2626-702155,2/3/2014,12/9/2022,8/28/2022,Endometriosis pain management,10060943.07,In Appeal,482-72-0053,CNT-CDP-4071-313
CLM-8354-279708,12/24/2018,3/24/2022,2/11/2019,Sickle cell anemia pain management,48162417.0,In Review,213-98-3133,CNT-CDP-1352-509
CLM-8665-935643,8/12/2019,8/22/2023,5/22/2021,Schizophrenia antipsychotic injection,4959056.77,In Review,448-23-9737,CNT-CDP-1271-220
CLM-2756-072316,1/9/2018,3/22/2021,6/8/2019,Prostate cancer PSA level check,38240589.58,Submitted,731-42-7758,CNT-CDP-5477-402
CLM-3340-698624,12/27/2013,8/13/2018,4/22/2018,Cirrhosis liver function tests,22850484.48,Denied,583-53-5498,CNT-CDP-7978-668
CLM-9939-516777,12/20/2019,4/25/2021,2/27/2022,Colorectal cancer follow-up colonoscopy,25932759.64,Denied,133-88-2037,CNT-CDP-4961-817
CLM-2434-172418,5/8/2017,6/24/2021,9/7/2018,Epilepsy medication level monitoring,86650245.46,In Review,194-97-6180,CNT-CDP-8050-366
CLM-9717-151157,4/29/2018,1/18/2023,12/1/2021,COPD exacerbation treatment,44982848.28,In Appeal,687-14-8468,CNT-CDP-6185-150
CLM-7563-315403,9/21/2014,7/31/2018,7/27/2017,Celiac disease nutritional consultation,90629019.99,Approved,780-59-3739,CNT-CDP-6655-090
CLM-9684-629119,10/28/2015,10/11/2021,6/13/2019,Addison's disease hormone replacement,64970353.51,Approved,157-37-7810,CNT-CDP-1642-307
CLM-0036-019438,6/3/2015,7/29/2019,5/16/2020,Cystic fibrosis respiratory therapy,96957359.05,In Appeal,410-77-5170,CNT-CDP-4512-987
CLM-6331-893994,9/27/2013,2/5/2024,11/28/2019,Sjogren's syndrome dry eye treatment,46701490.74,Partially Approved,621-69-7134,CNT-CDP-3742-699
CLM-5883-388208,3/6/2016,2/19/2021,5/21/2017,Colorectal cancer follow-up colonoscopy,60703204.56,Submitted,791-41-2793,CNT-CDP-8669-871
CLM-5005-209322,6/6/2011,11/12/2016,7/23/2023,Thyroid hormone level check for hypothyroidism,5224623.19,Pending Additional Information,450-01-5808,CNT-CDP-2212-507
CLM-5230-147988,5/15/2016,5/29/2024,2/25/2019,Osteoporosis bone density scan,68218386.51,Reopened,583-40-7566,CNT-CDP-3509-463
CLM-4354-522923,2/26/2012,8/21/2013,12/5/2013,Chronic depression therapy session,2871800.52,Denied,802-10-9305,CNT-CDP-5083-233
CLM-9749-282432,3/14/2018,3/28/2023,7/3/2021,Hemophilia factor replacement therapy,98752248.7,Submitted,278-60-8880,CNT-CDP-4771-659
CLM-8034-161326,9/21/2021,6/23/2022,12/25/2021,Peripheral artery disease circulation check,82268162.37,Paid,714-92-8337,CNT-CDP-0965-714
CLM-4703-522214,4/29/2021,1/6/2024,12/8/2023,IBS symptom management consultation,82143043.69,Paid,629-28-2815,CNT-CDP-6776-498
CLM-2671-911399,11/4/2021,3/23/2023,12/15/2023,Celiac disease nutritional consultation,45280080.32,In Review,524-04-2512,CNT-CDP-0300-151
CLM-5476-285259,4/20/2011,3/31/2018,1/28/2013,Sleep apnea CPAP adjustment,97528463.41,In Appeal,888-61-8766,CNT-CDP-4710-088
CLM-6535-890047,9/26/2010,12/15/2015,4/19/2013,Breast cancer chemotherapy session,19857118.18,Paid,108-06-8483,CNT-CDP-1106-486
CLM-4044-492535,10/28/2019,10/9/2021,8/12/2021,Graves' disease thyroid function test,84540154.28,In Review,366-69-0189,CNT-CDP-9907-355
CLM-1013-111795,9/30/2021,12/7/2023,7/25/2022,Bipolar disorder medication adjustment,26880511.29,Submitted,339-65-4917,CNT-CDP-4085-411
CLM-9890-235750,9/14/2018,3/11/2023,3/25/2019,Breast cancer chemotherapy session,81835158.02,In Review,437-39-9766,CNT-CDP-2478-608
CLM-4510-550297,8/20/2020,10/14/2021,8/28/2021,Cirrhosis liver function tests,80866786.06,Partially Approved,665-09-1635,CNT-CDP-8945-045
CLM-5686-251266,3/21/2016,7/23/2021,11/14/2017,Parkinson's disease tremor assessment,75004532.98,In Review,318-85-5909,CNT-CDP-1152-783
CLM-0559-930716,11/21/2016,7/11/2018,5/3/2023,Leukemia blood count monitoring,57719610.23,Approved,731-48-4015,CNT-CDP-8711-127
CLM-2505-944716,4/20/2010,10/13/2010,10/19/2013,Osteoporosis bone density scan,56608712.49,Approved,352-34-7646,CNT-CDP-3821-674
CLM-3285-303726,5/20/2013,11/26/2023,3/20/2016,Lupus flare-up management,63443214.94,In Appeal,547-03-2355,CNT-CDP-1434-089
CLM-2413-852862,1/9/2011,2/15/2019,6/29/2012,Multiple sclerosis neurological exam,12504900.76,Pending Additional Information,821-55-7210,CNT-CDP-0090-492
CLM-5641-117981,9/18/2017,1/11/2020,2/19/2018,Peripheral artery disease circulation check,4947670.64,Paid,572-90-2330,CNT-CDP-9534-035
CLM-9927-715639,4/28/2013,6/8/2013,9/2/2014,Graves' disease thyroid function test,59756998.99,Partially Approved,380-80-3694,CNT-CDP-2232-683
CLM-4517-967949,1/23/2014,1/5/2018,11/11/2020,Endometriosis pain management,13926361.76,Submitted,564-31-4802,CNT-CDP-2122-869
CLM-9641-509291,5/7/2011,7/28/2013,7/20/2018,Cystic fibrosis respiratory therapy,18030981.6,Closed,138-43-8025,CNT-CDP-0069-374
CLM-6584-767073,6/15/2014,1/26/2017,6/16/2014,Psoriasis phototherapy session,25593076.65,Reopened,128-30-1454,CNT-CDP-9006-328
CLM-4460-259104,8/29/2014,1/5/2024,12/10/2021,IBS symptom management consultation,82694046.91,Denied,576-51-7533,CNT-CDP-1709-906
CLM-2092-483514,3/11/2013,8/21/2024,6/4/2022,Peripheral artery disease circulation check,32790659.36,Pending Additional Information,808-41-5349,CNT-CDP-6853-799
CLM-9726-061046,10/12/2010,4/1/2022,11/28/2010,Osteoarthritis joint injection,37183177.75,Denied,593-20-1431,CNT-CDP-4238-598
CLM-6299-777575,2/10/2019,8/21/2023,5/28/2020,Glaucoma intraocular pressure check,89925010.84,Denied,468-06-5187,CNT-CDP-0887-483
CLM-0464-427364,12/25/2016,2/16/2018,6/30/2019,Prostate cancer PSA level check,88545836.66,Submitted,152-51-6054,CNT-CDP-5005-153
CLM-5880-794847,10/1/2020,7/15/2021,4/24/2022,Routine diabetes management check-up,65373622.18,Approved,428-35-1963,CNT-CDP-0152-682
CLM-7010-260324,11/24/2021,5/13/2023,2/22/2023,Leukemia blood count monitoring,1725969.66,Denied,407-49-4947,CNT-CDP-4954-947
CLM-4297-865077,1/5/2013,9/2/2015,3/28/2018,Routine diabetes management check-up,51352526.53,In Review,485-77-2462,CNT-CDP-1824-562
CLM-1429-300276,11/8/2015,11/22/2015,11/27/2017,Hemophilia factor replacement therapy,64306666.58,Reopened,777-37-9137,CNT-CDP-9688-417
CLM-7946-936172,12/18/2020,7/7/2023,7/29/2023,Rheumatoid arthritis joint assessment,21899605.09,Reopened,144-67-2066,CNT-CDP-6186-446
CLM-9174-428915,3/26/2013,4/10/2017,8/8/2014,COPD exacerbation treatment,11236603.32,Paid,413-75-8893,CNT-CDP-0883-374
CLM-1291-665980,5/21/2011,1/30/2019,11/6/2020,Addison's disease hormone replacement,6931816.58,Pending Additional Information,477-85-3908,CNT-CDP-6703-032
CLM-1352-513745,11/12/2017,6/9/2019,3/25/2023,Endometriosis pain management,2615638.98,Denied,573-48-7178,CNT-CDP-3341-975
CLM-1619-813381,12/23/2021,11/16/2023,1/5/2023,Ulcerative colitis colonoscopy,16446338.87,Partially Approved,576-61-0312,CNT-CDP-2588-283
CLM-6928-509388,8/10/2013,12/21/2021,1/13/2021,Hypertension medication adjustment,2903596.85,Paid,349-18-9995,CNT-CDP-2116-290
CLM-1787-106158,9/10/2021,4/18/2023,10/18/2022,Ulcerative colitis colonoscopy,4681685.88,Closed,391-47-2914,CNT-CDP-3750-460
CLM-8555-737186,7/3/2011,11/5/2014,11/25/2015,Rheumatoid arthritis joint assessment,59075674.31,Reopened,380-81-5232,CNT-CDP-6101-976
CLM-7118-796203,11/24/2013,3/6/2019,11/23/2020,Osteoarthritis joint injection,26969942.09,Closed,834-94-9787,CNT-CDP-7991-575
CLM-9574-510458,12/1/2014,12/21/2020,11/7/2017,Fibromyalgia pain management session,47673730.89,In Appeal,600-88-0740,CNT-CDP-1503-699
CLM-7137-591245,6/21/2020,12/21/2023,11/10/2022,Ulcerative colitis colonoscopy,18496193.58,Approved,194-15-3874,CNT-CDP-1332-824
CLM-1535-433477,10/24/2017,5/9/2019,7/18/2019,Chronic depression therapy session,37897409.39,In Appeal,786-22-0608,CNT-CDP-2934-125
CLM-0880-342632,2/11/2016,11/5/2023,7/23/2018,Obesity management and counseling,26380751.39,Closed,707-63-3441,CNT-CDP-9973-106
CLM-4355-365978,2/8/2011,12/17/2022,9/21/2015,Diabetic retinopathy eye exam,16818805.09,Partially Approved,276-53-7399,CNT-CDP-8971-863
CLM-4621-564311,7/26/2012,4/25/2019,3/12/2014,Cirrhosis liver function tests,42873056.56,Reopened,471-30-0946,CNT-CDP-9461-087
CLM-9462-705674,2/22/2010,4/8/2022,3/24/2024,Endometriosis pain management,30826918.33,Pending Additional Information,652-40-1519,CNT-CDP-5224-503
CLM-8984-768894,7/19/2018,2/14/2021,8/5/2023,HIV viral load testing,6891892.85,Approved,730-77-0740,CNT-CDP-2586-072
CLM-8509-834355,3/3/2017,3/31/2021,7/13/2022,HIV viral load testing,59464519.71,Submitted,200-44-7207,CNT-CDP-0453-769
CLM-3788-769899,1/9/2016,6/4/2023,3/15/2022,Celiac disease nutritional consultation,11694000.96,In Review,106-80-0367,CNT-CDP-8825-295
CLM-1212-098925,3/14/2012,1/29/2022,3/27/2022,Breast cancer chemotherapy session,10601179.27,In Review,462-29-7819,CNT-CDP-8743-030
CLM-0966-686274,10/10/2017,2/18/2020,11/12/2017,Lupus flare-up management,73616825.35,Closed,264-76-0855,CNT-CDP-8399-261
CLM-0865-783528,9/28/2016,7/16/2023,5/2/2020,Hemophilia factor replacement therapy,40711387.3,Reopened,255-98-6577,CNT-CDP-4246-537
CLM-8554-643730,7/15/2020,12/13/2020,8/8/2020,Routine diabetes management check-up,6608006.08,Paid,201-54-8375,CNT-CDP-9203-822
CLM-9462-084527,12/21/2013,12/13/2021,4/20/2020,Chronic fatigue syndrome assessment,86346107.41,Reopened,559-08-7010,CNT-CDP-2268-140
CLM-8746-740546,11/7/2010,11/9/2018,12/24/2022,Alzheimer's disease cognitive assessment,42021088.35,Partially Approved,460-07-4051,CNT-CDP-5274-895
CLM-9442-108750,7/23/2019,2/2/2023,6/26/2021,Anxiety disorder cognitive behavioral therapy,43633855.56,Partially Approved,346-46-2775,CNT-CDP-4879-954
CLM-9453-662600,10/24/2019,2/7/2021,10/23/2021,Rheumatoid arthritis joint assessment,29943527.18,Denied,601-49-5425,CNT-CDP-0439-088
CLM-6099-071912,5/5/2011,4/25/2022,6/11/2020,Glaucoma intraocular pressure check,54569632.09,Denied,602-41-1450,CNT-CDP-3309-004
CLM-8336-515994,8/30/2013,12/10/2020,5/8/2022,Peripheral artery disease circulation check,66902950.31,Paid,584-44-5239,CNT-CDP-2535-634
CLM-3288-867219,10/29/2019,1/10/2023,9/24/2022,Psoriasis phototherapy session,28950968.24,In Review,654-13-2767,CNT-CDP-6459-645
CLM-2173-076161,9/12/2021,3/19/2024,3/17/2024,Congestive heart failure fluid balance check,2416876.53,Denied,179-97-0277,CNT-CDP-0155-591
CLM-8267-448491,10/12/2012,12/1/2013,2/9/2016,COPD exacerbation treatment,22811317.85,Denied,235-81-7492,CNT-CDP-7985-097
CLM-0425-150224,9/8/2019,9/23/2022,4/26/2022,Atrial fibrillation anticoagulation check,25993118.01,Reopened,362-77-7406,CNT-CDP-8511-813
