PremiumCode,ContractNumber,CustomerSSN,PremiumAmount,PremiumFrequency,PaymentMethod,Status
PREM6273,CNT-CDP-4921-307,454-50-7352,988,Semi-Annually,Credit or Debit Card,Pending
PREM1029,CNT-CDP-6985-319,683-23-9060,1515,Semi-Annually,Direct Debit/Automatic Withdrawal,Cancelled
PREM0495,CNT-CDP-2988-949,762-49-1943,1704,Semi-Annually,Electronic Funds Transfer (EFT),Pending
PREM5415,CNT-CDP-8669-871,754-98-7758,5778,Querterly,Electronic Funds Transfer (EFT),Pending
PREM2318,CNT-CDP-5796-269,207-74-6999,6592,Annually,Check,Renewed
PREM0058,CNT-CDP-8741-560,811-79-7478,5821,Semi-Annually,Electronic Funds Transfer (EFT),Overdue
PREM4472,CNT-CDP-9297-790,223-46-4546,7153,Semi-Annually,Electronic Funds Transfer (EFT),Cancelled
PREM9424,CNT-CDP-4470-928,364-56-0809,7571,Monthly,Phone Payments,Renewed
PREM1223,CNT-CDP-4429-498,671-27-4240,9982,Annually,In-Person Payments,Expired
PREM1143,CNT-CDP-6058-304,683-18-9050,3280,Annually,Mobile Payment Apps,Lapsed
PREM4093,CNT-CDP-5380-165,525-43-4710,4270,Semi-Annually,Phone Payments,Expired
PREM2734,CNT-CDP-7588-295,352-32-0242,1178,Monthly,Credit or Debit Card,Lapsed
PREM5008,CNT-CDP-9630-827,479-25-3635,6535,Annually,Mobile Payment Apps,Expired
PREM8811,CNT-CDP-8773-043,430-79-6857,8579,Querterly,In-Person Payments,Overdue
PREM2667,CNT-CDP-7561-398,729-81-0268,799,Annually,Online Payment Portals,Expired
PREM9094,CNT-CDP-7719-845,326-82-9096,6681,Querterly,Electronic Funds Transfer (EFT),Cancelled
PREM5333,CNT-CDP-5220-589,678-02-9516,7116,Monthly,In-Person Payments,Suspended
PREM3085,CNT-CDP-8773-843,444-86-0266,2503,Semi-Annually,Online Payment Portals,Active
PREM8231,CNT-CDP-0939-082,863-73-9525,1741,Monthly,Phone Payments,Lapsed
PREM3285,CNT-CDP-3707-775,586-70-4628,8988,Semi-Annually,Direct Debit/Automatic Withdrawal,Pending
PREM5910,CNT-CDP-0090-492,460-07-2521,6582,Querterly,Mobile Payment Apps,Overdue
PREM2237,CNT-CDP-2038-439,128-62-7754,3826,Querterly,Direct Debit/Automatic Withdrawal,Overdue
PREM9018,CNT-CDP-4814-607,197-07-9496,7749,Monthly,Mobile Payment Apps,Suspended
PREM8325,CNT-CDP-1688-834,423-96-6886,8172,Monthly,Online Payment Portals,Suspended
PREM4201,CNT-CDP-3954-692,122-82-0920,4525,Querterly,Credit or Debit Card,Suspended
PREM8626,CNT-CDP-1334-847,366-58-7947,3618,Monthly,Direct Debit/Automatic Withdrawal,Expired
PREM0598,CNT-CDP-3548-047,127-51-7648,6657,Monthly,Credit or Debit Card,Overdue
PREM2048,CNT-CDP-3895-588,364-43-2698,4735,Annually,Electronic Funds Transfer (EFT),Active
PREM2570,CNT-CDP-9907-355,516-04-6814,1479,Annually,Online Payment Portals,Expired
PREM0024,CNT-CDP-7234-278,817-61-1069,3689,Semi-Annually,Credit or Debit Card,Lapsed
PREM6816,CNT-CDP-4465-001,316-66-0906,531,Semi-Annually,Online Payment Portals,Pending
PREM5353,CNT-CDP-7174-379,142-96-7706,3390,Annually,Phone Payments,Suspended
PREM0802,CNT-CDP-8556-256,165-41-9536,4957,Querterly,Online Payment Portals,Pending
PREM1981,CNT-CDP-1305-765,521-61-8005,8734,Semi-Annually,Credit or Debit Card,Overdue
PREM8430,CNT-CDP-0069-374,253-85-8722,5915,Monthly,Mobile Payment Apps,Overdue
PREM2038,CNT-CDP-1303-991,409-48-5094,1677,Querterly,Phone Payments,Renewed
PREM3679,CNT-CDP-5884-809,231-14-6774,5713,Semi-Annually,Mobile Payment Apps,Pending
PREM6285,CNT-CDP-2922-987,696-66-8047,6834,Semi-Annually,In-Person Payments,Active
PREM3285,CNT-CDP-2082-812,441-45-4434,1582,Querterly,Check,Expired
PREM0558,CNT-CDP-0826-776,584-74-5070,8278,Querterly,Phone Payments,Renewed
PREM0273,CNT-CDP-3629-412,638-84-9548,2657,Querterly,Credit or Debit Card,Suspended
PREM4602,CNT-CDP-9142-487,503-37-0019,351,Semi-Annually,Direct Debit/Automatic Withdrawal,Active
PREM6076,CNT-CDP-6371-507,379-37-7126,1970,Annually,Mobile Payment Apps,Active
PREM5867,CNT-CDP-6186-446,395-52-7205,507,Semi-Annually,In-Person Payments,Renewed
PREM0141,CNT-CDP-4859-759,435-10-4849,3800,Monthly,Direct Debit/Automatic Withdrawal,Lapsed
PREM0292,CNT-CDP-1047-296,863-28-4647,7594,Monthly,Credit or Debit Card,Overdue
PREM5558,CNT-CDP-6094-001,182-79-4944,2919,Querterly,In-Person Payments,Suspended
PREM2516,CNT-CDP-3624-661,391-21-7230,5995,Annually,Check,Pending
PREM3930,CNT-CDP-4219-166,440-33-5693,2599,Monthly,Direct Debit/Automatic Withdrawal,Expired
PREM4566,CNT-CDP-3182-970,281-62-2599,4501,Querterly,Credit or Debit Card,Overdue
PREM9307,CNT-CDP-0640-615,754-98-7758,4148,Annually,Phone Payments,Cancelled
PREM4399,CNT-CDP-3633-103,767-53-8839,8483,Semi-Annually,Mobile Payment Apps,Expired
PREM5954,CNT-CDP-4429-498,671-27-4240,9203,Annually,In-Person Payments,Pending
PREM4929,CNT-CDP-4117-855,882-29-5174,5245,Semi-Annually,Credit or Debit Card,Overdue
PREM1071,CNT-CDP-5856-605,347-63-3246,7094,Annually,Direct Debit/Automatic Withdrawal,Overdue
PREM7028,CNT-CDP-9084-081,168-52-1435,148,Annually,Electronic Funds Transfer (EFT),Overdue
PREM0476,CNT-CDP-7386-126,204-89-0224,2070,Monthly,Direct Debit/Automatic Withdrawal,Active
PREM6149,CNT-CDP-2292-369,822-34-8592,6368,Semi-Annually,Online Payment Portals,Lapsed
PREM6502,CNT-CDP-8553-322,836-04-2999,3183,Semi-Annually,Direct Debit/Automatic Withdrawal,Suspended
PREM8004,CNT-CDP-8383-950,749-97-9210,3221,Querterly,Direct Debit/Automatic Withdrawal,Cancelled
PREM8086,CNT-CDP-7326-892,253-80-6341,1346,Querterly,Online Payment Portals,Active
PREM0195,CNT-CDP-6185-150,235-15-1117,4423,Annually,In-Person Payments,Suspended
PREM6266,CNT-CDP-0939-154,137-92-1680,1972,Querterly,Online Payment Portals,Lapsed
PREM4502,CNT-CDP-6055-378,384-12-1031,4338,Monthly,Credit or Debit Card,Lapsed
PREM6714,CNT-CDP-5265-729,299-78-7188,9676,Semi-Annually,Online Payment Portals,Cancelled
PREM6787,CNT-CDP-9035-645,611-29-2776,1020,Monthly,Phone Payments,Renewed
PREM5172,CNT-CDP-1484-935,832-63-4875,7729,Querterly,Check,Renewed
PREM8069,CNT-CDP-9737-633,743-99-0167,4455,Annually,Phone Payments,Cancelled
PREM6863,CNT-CDP-3801-216,499-72-2020,5231,Semi-Annually,Direct Debit/Automatic Withdrawal,Cancelled
PREM9312,CNT-CDP-1405-757,590-63-4215,6087,Semi-Annually,Phone Payments,Overdue
PREM5619,CNT-CDP-0466-712,692-55-4716,9771,Monthly,In-Person Payments,Cancelled
PREM7365,CNT-CDP-7235-800,516-69-6549,5136,Monthly,Credit or Debit Card,Expired
PREM8754,CNT-CDP-0616-505,863-28-4647,6687,Monthly,Check,Overdue
PREM3775,CNT-CDP-8648-617,281-81-1398,2234,Querterly,Credit or Debit Card,Cancelled
PREM3387,CNT-CDP-8578-432,313-95-3567,1858,Monthly,Credit or Debit Card,Expired
PREM8315,CNT-CDP-0453-769,769-30-2685,618,Querterly,Online Payment Portals,Lapsed
PREM6167,CNT-CDP-5417-947,774-26-8823,7401,Semi-Annually,Electronic Funds Transfer (EFT),Active
PREM3209,CNT-CDP-4868-339,462-50-5376,5555,Annually,Online Payment Portals,Lapsed
PREM2004,CNT-CDP-7314-241,175-29-0870,273,Semi-Annually,Mobile Payment Apps,Overdue
PREM0579,CNT-CDP-0090-492,460-07-2521,3073,Semi-Annually,Online Payment Portals,Lapsed
PREM7618,CNT-CDP-3951-998,401-04-8498,4152,Querterly,Check,Active
PREM5797,CNT-CDP-3959-709,185-30-3761,4060,Monthly,Check,Lapsed
PREM7288,CNT-CDP-4609-512,622-30-1101,917,Querterly,Online Payment Portals,Renewed
PREM3231,CNT-CDP-9670-435,369-81-1487,5745,Semi-Annually,Electronic Funds Transfer (EFT),Lapsed
PREM7625,CNT-CDP-6675-366,136-67-3745,3890,Annually,Electronic Funds Transfer (EFT),Suspended
PREM7954,CNT-CDP-0958-753,236-74-4042,4293,Semi-Annually,Check,Active
PREM4089,CNT-CDP-0045-043,358-44-0561,112,Semi-Annually,Phone Payments,Pending
PREM0924,CNT-CDP-2250-134,446-41-6870,1758,Querterly,Direct Debit/Automatic Withdrawal,Cancelled
PREM7809,CNT-CDP-8758-934,302-41-8386,3572,Monthly,Credit or Debit Card,Overdue
PREM2527,CNT-CDP-8958-285,432-40-6023,8299,Monthly,Direct Debit/Automatic Withdrawal,Active
PREM0812,CNT-CDP-4238-598,646-41-5274,6323,Querterly,In-Person Payments,Lapsed
PREM7135,CNT-CDP-5264-974,312-79-1518,4146,Semi-Annually,Mobile Payment Apps,Suspended
PREM3076,CNT-CDP-6567-876,202-51-5487,4471,Querterly,Phone Payments,Active
PREM2521,CNT-CDP-9688-417,869-20-0883,8630,Querterly,Direct Debit/Automatic Withdrawal,Pending
PREM1936,CNT-CDP-6356-443,647-12-9070,7519,Monthly,Mobile Payment Apps,Renewed
PREM3889,CNT-CDP-8163-364,438-12-4628,5072,Annually,In-Person Payments,Renewed
PREM3125,CNT-CDP-5803-851,622-30-1101,7103,Annually,Credit or Debit Card,Suspended
PREM1340,CNT-CDP-3189-138,389-16-9961,9124,Monthly,Direct Debit/Automatic Withdrawal,Active
PREM0559,CNT-CDP-4118-325,726-71-9373,4218,Annually,Phone Payments,Lapsed
PREM1620,CNT-CDP-4581-349,541-57-2145,2523,Annually,Direct Debit/Automatic Withdrawal,Active
PREM9026,CNT-CDP-9229-908,862-15-0803,7952,Monthly,Online Payment Portals,Suspended
PREM1929,CNT-CDP-2038-439,128-62-7754,1980,Querterly,Credit or Debit Card,Pending
PREM6408,CNT-CDP-6016-002,336-91-9867,232,Annually,Credit or Debit Card,Lapsed
PREM3498,CNT-CDP-0739-372,281-73-6808,4415,Querterly,In-Person Payments,Expired
PREM1920,CNT-CDP-8562-124,683-18-9050,6640,Monthly,Phone Payments,Renewed
PREM5501,CNT-CDP-8176-312,718-24-9799,7090,Annually,Credit or Debit Card,Suspended
PREM1465,CNT-CDP-6342-343,209-96-9359,6596,Querterly,Phone Payments,Suspended
PREM1689,CNT-CDP-1585-636,608-97-9026,5824,Annually,Online Payment Portals,Pending
PREM0494,CNT-CDP-0227-977,309-64-6753,6069,Querterly,Online Payment Portals,Active
PREM1358,CNT-CDP-1754-791,436-44-7581,9377,Semi-Annually,Credit or Debit Card,Cancelled
PREM1033,CNT-CDP-1120-060,108-98-3421,8618,Annually,Direct Debit/Automatic Withdrawal,Suspended
PREM4395,CNT-CDP-5199-683,652-70-9706,3291,Querterly,Check,Expired
PREM3192,CNT-CDP-4331-816,597-42-6584,8040,Semi-Annually,In-Person Payments,Lapsed
PREM0581,CNT-CDP-5175-748,172-85-1067,9212,Monthly,Phone Payments,Renewed
PREM9159,CNT-CDP-4908-047,400-21-1001,1776,Monthly,In-Person Payments,Suspended
PREM3077,CNT-CDP-6407-252,794-04-1916,9383,Annually,Online Payment Portals,Renewed
PREM9210,CNT-CDP-8825-295,794-04-1916,6650,Semi-Annually,Electronic Funds Transfer (EFT),Suspended
PREM9039,CNT-CDP-4465-001,316-66-0906,7535,Monthly,Electronic Funds Transfer (EFT),Expired
PREM1220,CNT-CDP-4602-854,129-65-4400,9800,Querterly,Credit or Debit Card,Renewed
PREM3461,CNT-CDP-2588-283,420-65-0039,9684,Monthly,Mobile Payment Apps,Pending
PREM1824,CNT-CDP-2950-681,335-04-6424,3575,Annually,In-Person Payments,Expired
PREM5023,CNT-CDP-2950-279,828-69-1991,7544,Semi-Annually,Electronic Funds Transfer (EFT),Renewed
PREM1156,CNT-CDP-7379-495,683-23-9060,4584,Semi-Annually,Direct Debit/Automatic Withdrawal,Overdue
PREM3623,CNT-CDP-2895-185,405-95-7014,4349,Querterly,Online Payment Portals,Lapsed
PREM3131,CNT-CDP-8598-484,826-78-8664,4564,Semi-Annually,Direct Debit/Automatic Withdrawal,Cancelled
PREM8431,CNT-CDP-4785-095,329-77-4299,7884,Semi-Annually,Check,Suspended
PREM9072,CNT-CDP-4716-686,350-82-8206,5837,Semi-Annually,Direct Debit/Automatic Withdrawal,Renewed
PREM8474,CNT-CDP-6624-320,338-59-2665,3478,Querterly,In-Person Payments,Expired
PREM7758,CNT-CDP-0206-644,429-65-7811,3479,Semi-Annually,Check,Active
PREM6967,CNT-CDP-8393-267,349-12-0495,1506,Querterly,Credit or Debit Card,Overdue
PREM2590,CNT-CDP-6859-791,235-15-1117,3571,Annually,Online Payment Portals,Expired
PREM2876,CNT-CDP-5990-156,529-86-3176,1488,Semi-Annually,Phone Payments,Lapsed
PREM4993,CNT-CDP-0005-227,475-34-2789,383,Semi-Annually,Direct Debit/Automatic Withdrawal,Active
PREM9214,CNT-CDP-4884-670,863-58-3723,7212,Semi-Annually,Direct Debit/Automatic Withdrawal,Cancelled
PREM9070,CNT-CDP-4901-899,875-28-7154,1874,Semi-Annually,Phone Payments,Suspended
PREM5188,CNT-CDP-7045-592,842-33-0692,8847,Semi-Annually,Credit or Debit Card,Expired
PREM6444,CNT-CDP-3251-625,413-10-2162,6818,Annually,Check,Cancelled
PREM5922,CNT-CDP-5327-190,842-64-0009,6288,Monthly,Check,Lapsed
PREM9700,CNT-CDP-6628-502,648-86-4577,7060,Querterly,In-Person Payments,Overdue
PREM9274,CNT-CDP-6476-370,699-90-2611,3158,Annually,Online Payment Portals,Active
PREM3906,CNT-CDP-8711-127,483-11-4619,4637,Semi-Annually,Mobile Payment Apps,Pending
PREM8650,CNT-CDP-5737-022,885-30-2051,9717,Monthly,Online Payment Portals,Pending
PREM8057,CNT-CDP-3703-412,172-85-1067,7168,Semi-Annually,Electronic Funds Transfer (EFT),Suspended
PREM7437,CNT-CDP-8553-322,836-04-2999,4592,Querterly,Electronic Funds Transfer (EFT),Pending
PREM2150,CNT-CDP-7969-902,589-94-4692,1103,Semi-Annually,In-Person Payments,Pending
PREM1968,CNT-CDP-4581-349,541-57-2145,4127,Semi-Annually,Phone Payments,Expired
PREM3732,CNT-CDP-4226-906,660-89-2485,6570,Querterly,Credit or Debit Card,Suspended
PREM6026,CNT-CDP-5503-575,552-78-2235,1765,Annually,Online Payment Portals,Active
PREM4487,CNT-CDP-4776-326,568-17-3551,9992,Annually,Online Payment Portals,Suspended
PREM1275,CNT-CDP-1023-535,405-23-1770,2644,Querterly,Credit or Debit Card,Overdue
PREM9100,CNT-CDP-0090-492,460-07-2521,144,Annually,Online Payment Portals,Overdue
PREM5328,CNT-CDP-7404-978,641-01-2782,189,Annually,Direct Debit/Automatic Withdrawal,Cancelled
PREM0720,CNT-CDP-6726-517,886-42-9408,6378,Monthly,Electronic Funds Transfer (EFT),Active
PREM9260,CNT-CDP-0745-264,823-30-1230,733,Semi-Annually,Credit or Debit Card,Expired
PREM1431,CNT-CDP-7486-471,320-72-8082,4338,Annually,Credit or Debit Card,Suspended
PREM7575,CNT-CDP-3793-548,306-27-1825,8806,Semi-Annually,Direct Debit/Automatic Withdrawal,Cancelled
PREM4139,CNT-CDP-3750-460,436-44-7581,870,Annually,In-Person Payments,Overdue
PREM3905,CNT-CDP-8625-924,882-39-2517,5823,Monthly,Direct Debit/Automatic Withdrawal,Renewed
PREM7718,CNT-CDP-2299-141,236-74-4042,4440,Annually,Mobile Payment Apps,Overdue
PREM4732,CNT-CDP-2950-279,828-69-1991,3997,Querterly,In-Person Payments,Suspended
PREM2112,CNT-CDP-8916-844,176-91-5939,366,Querterly,Direct Debit/Automatic Withdrawal,Cancelled
PREM3447,CNT-CDP-1752-610,205-22-8990,1626,Semi-Annually,Phone Payments,Lapsed
PREM9291,CNT-CDP-5921-425,532-71-6847,8676,Annually,Phone Payments,Pending
PREM7070,CNT-CDP-8383-950,749-97-9210,5903,Querterly,Electronic Funds Transfer (EFT),Cancelled
PREM7382,CNT-CDP-9250-207,105-43-4308,8460,Monthly,In-Person Payments,Lapsed
PREM1027,CNT-CDP-4766-809,329-77-4299,4460,Annually,Direct Debit/Automatic Withdrawal,Pending
PREM5927,CNT-CDP-8986-905,483-11-4619,8270,Monthly,Mobile Payment Apps,Active
PREM5391,CNT-CDP-1664-104,462-04-0827,1685,Annually,Check,Active
PREM0728,CNT-CDP-3067-246,789-21-3161,9796,Annually,Online Payment Portals,Lapsed
PREM2049,CNT-CDP-4908-047,400-21-1001,2742,Querterly,Direct Debit/Automatic Withdrawal,Renewed
PREM3919,CNT-CDP-7893-229,453-66-2725,4242,Querterly,Mobile Payment Apps,Pending
PREM1070,CNT-CDP-4150-445,842-64-0009,2180,Querterly,Check,Renewed
PREM2306,CNT-CDP-7379-495,683-23-9060,4064,Monthly,Online Payment Portals,Expired
PREM8698,CNT-CDP-1167-031,492-69-2793,3919,Semi-Annually,Phone Payments,Renewed
PREM8987,CNT-CDP-6380-002,382-44-9399,4854,Annually,Direct Debit/Automatic Withdrawal,Active
PREM4552,CNT-CDP-2586-072,836-04-2999,6150,Annually,Mobile Payment Apps,Pending
PREM1735,CNT-CDP-9732-097,235-15-1117,3230,Semi-Annually,Direct Debit/Automatic Withdrawal,Pending
PREM4605,CNT-CDP-8613-486,204-84-2965,8688,Monthly,Mobile Payment Apps,Pending
PREM9325,CNT-CDP-6016-002,336-91-9867,9519,Monthly,Mobile Payment Apps,Active
PREM2172,CNT-CDP-7535-994,338-59-2665,431,Querterly,Electronic Funds Transfer (EFT),Suspended
PREM9528,CNT-CDP-9352-861,485-56-3024,8762,Semi-Annually,Check,Active
PREM7414,CNT-CDP-3423-266,527-90-6987,9128,Annually,Phone Payments,Cancelled
PREM9223,CNT-CDP-2771-099,590-14-9022,8324,Semi-Annually,Check,Lapsed
PREM4873,CNT-CDP-7683-513,116-08-6992,6467,Semi-Annually,In-Person Payments,Suspended
PREM6383,CNT-CDP-0408-502,432-40-6023,2091,Querterly,Phone Payments,Active
PREM4245,CNT-CDP-2639-503,598-76-7465,944,Monthly,In-Person Payments,Suspended
PREM6229,CNT-CDP-6447-362,517-96-6739,5276,Annually,Electronic Funds Transfer (EFT),Renewed
PREM5952,CNT-CDP-7379-491,511-66-9471,6230,Annually,Direct Debit/Automatic Withdrawal,Lapsed
PREM8583,CNT-CDP-8572-047,122-55-4301,7026,Querterly,Phone Payments,Suspended
PREM0142,CNT-CDP-2140-742,787-25-1617,7546,Monthly,Credit or Debit Card,Cancelled
PREM3472,CNT-CDP-4272-021,523-80-3435,5238,Semi-Annually,In-Person Payments,Renewed
PREM3599,CNT-CDP-4297-856,559-35-0106,4343,Semi-Annually,Check,Pending
PREM3366,CNT-CDP-8097-521,571-27-8259,4449,Annually,Direct Debit/Automatic Withdrawal,Cancelled
PREM3484,CNT-CDP-1023-535,405-23-1770,277,Semi-Annually,Mobile Payment Apps,Renewed
PREM4007,CNT-CDP-8729-673,541-57-2145,7222,Monthly,Direct Debit/Automatic Withdrawal,Renewed
PREM8524,CNT-CDP-8624-324,640-73-8121,6915,Annually,Electronic Funds Transfer (EFT),Renewed
PREM3308,CNT-CDP-4726-769,309-64-6753,5430,Semi-Annually,Electronic Funds Transfer (EFT),Renewed
PREM7558,CNT-CDP-6814-078,154-64-8431,2822,Annually,Online Payment Portals,Cancelled
PREM8458,CNT-CDP-8141-632,648-53-3431,3071,Annually,In-Person Payments,Lapsed
PREM7774,CNT-CDP-1528-993,305-32-7126,4450,Querterly,Direct Debit/Automatic Withdrawal,Cancelled
PREM0153,CNT-CDP-0766-102,784-23-9227,3548,Monthly,Check,Lapsed
PREM3550,CNT-CDP-6539-835,739-86-6514,150,Monthly,In-Person Payments,Overdue
PREM0679,CNT-CDP-3716-837,726-09-9498,5001,Monthly,Electronic Funds Transfer (EFT),Pending
PREM6674,CNT-CDP-5265-729,299-78-7188,4941,Querterly,Credit or Debit Card,Lapsed
PREM6609,CNT-CDP-7146-925,117-05-3734,9268,Annually,Electronic Funds Transfer (EFT),Cancelled
PREM1537,CNT-CDP-0513-363,414-80-2739,710,Semi-Annually,Credit or Debit Card,Active
PREM3974,CNT-CDP-7174-379,142-96-7706,4044,Monthly,Mobile Payment Apps,Overdue
PREM1713,CNT-CDP-6703-939,622-11-1615,1424,Annually,Electronic Funds Transfer (EFT),Active
PREM9370,CNT-CDP-6926-210,410-38-8800,71,Querterly,Check,Renewed
PREM6227,CNT-CDP-5608-302,453-66-2725,4066,Querterly,Phone Payments,Cancelled
PREM6915,CNT-CDP-0936-342,469-47-1784,4940,Semi-Annually,In-Person Payments,Pending
PREM6538,CNT-CDP-5729-354,583-19-2261,5138,Annually,Credit or Debit Card,Renewed
PREM4223,CNT-CDP-2895-185,405-95-7014,6554,Semi-Annually,Online Payment Portals,Lapsed
PREM9607,CNT-CDP-1299-479,576-22-8234,8264,Monthly,In-Person Payments,Expired
PREM3625,CNT-CDP-9161-928,299-78-7188,1788,Querterly,Direct Debit/Automatic Withdrawal,Cancelled
PREM3149,CNT-CDP-5348-125,498-47-0662,2785,Querterly,Mobile Payment Apps,Pending
PREM8408,CNT-CDP-3529-529,233-98-7822,3601,Monthly,Credit or Debit Card,Active
PREM8888,CNT-CDP-1388-251,518-58-6058,5512,Monthly,Electronic Funds Transfer (EFT),Lapsed
PREM6756,CNT-CDP-7938-639,307-44-4074,9976,Annually,Online Payment Portals,Expired
PREM0143,CNT-CDP-3006-027,793-39-8139,1374,Semi-Annually,Electronic Funds Transfer (EFT),Expired
PREM5692,CNT-CDP-6491-686,508-77-1702,5645,Semi-Annually,In-Person Payments,Expired
