BAcctNumber,AcctNumber,BillingStreet,BillingAptNo,BillingZip,BillingPhone,BillingMethod,OnlineBillingFlag,CoverageType,LastInvoiceGenDate,LastInvoicePaidDueDate,LastInvoicePaidDate,LastBillCount,NextInvoiceGenDate,CardType,CardNo,CardExpirationDate,BankingAccountType,BankingAccountNumber,PaymentAmount,PaymentDate,AccountEstablishedDate
BILL293397078,ACC454974168,5799 Loomis Pass,17,10019,220-791-6136,Diagnosis-Related Group (DRG),F,Health Maintenance Organization (HMO),1/26/2020,3/14/2022,10/8/2023,34,2/28/2024,mastercard,5273679782722144,12/5/2024,Checking Account,vapdfuu,635.59,9/30/2018,3/31/2018
BILL833847824,ACC174124466,4 Golf Course Place,42,46239,139-210-7389,Direct Billing,T,Children's Health Insurance Program (CHIP),12/5/2014,6/20/2019,8/5/2023,22,4/25/2024,visa-electron,4508958860446648,8/12/2024,Credit Account,tohjdhi,123.61,9/19/2015,12/2/2016
BILL918870633,ACC166857565,68 Hoard Place,16,77095,226-227-1590,Global Budgeting,F,Indemnity Plan,7/22/2016,2/9/2024,5/31/2017,12,7/18/2019,jcb,3585005568324723,3/17/2024,Checking Account,shkluio,272.67,8/15/2014,9/8/2014
BILL235075600,ACC537249853,99748 8th Crossing,8,98417,677-384-1898,Fee-for-Service,F,Substance Abuse Treatment Coverage,1/5/2011,1/13/2014,2/26/2016,48,9/19/2019,diners-club-carte-blanche,30426051867670,5/17/2026,Loan Account,uisahup,879.08,6/21/2011,10/8/2012
BILL396812199,ACC671364826,9777 Victoria Street,2,60652,990-107-2656,Direct Billing,T,Prescription Drug Coverage,10/18/2010,7/24/2018,4/24/2024,21,8/30/2021,jcb,3542863337010300,2/12/2028,Savings Account,jvvnwpj,455.41,3/21/2012,4/29/2016
BILL477787661,ACC405455904,5 Little Fleur Way,21,91103,909-120-8486,Shared Savings,T,Accident Insurance,7/6/2018,8/30/2018,2/27/2022,41,6/25/2020,jcb,3569699367142771,11/13/2025,Investment Account,rscoisy,553.15,3/19/2021,12/17/2018
BILL332398096,ACC948435347,21 Luster Crossing,23,44505,213-910-6443,Self-Pay,F,Health Maintenance Organization (HMO),2/8/2020,12/22/2020,3/27/2024,5,4/20/2024,mastercard,5108759227991990,2/5/2029,Certificate of Deposit (CD),rkebhbn,131.47,11/11/2011,8/14/2020
BILL317029545,ACC172079226,9050 Reinke Crossing,17,90805,613-700-7673,Shared Savings,T,Accident Insurance,12/4/2013,3/16/2021,1/3/2019,47,5/9/2020,jcb,3544407667443927,2/18/2029,Checking Account,tfmotik,775.23,3/10/2015,6/2/2011
BILL109246982,ACC400131463,67 Bayside Place,43,93721,642-758-3642,Fee-for-Service,F,Health Savings Account (HSA)-eligible plan,8/8/2021,7/21/2022,11/1/2022,29,5/17/2023,jcb,3543057847996640,2/28/2026,Retirement Account,gkcubmx,327.98,6/11/2010,11/29/2012
BILL353493551,ACC574001557,78584 Sommers Alley,7,33615,867-584-6968,Shared Savings,F,Exclusive Provider Organization (EPO),10/7/2012,6/16/2017,7/26/2015,26,5/25/2016,mastercard,5100144950302491,12/2/2024,Certificate of Deposit (CD),aydpbhw,237.88,11/10/2014,6/19/2014
BILL073317082,ACC508639639,4315 Oak Valley Pass,38,38114,863-718-9334,Direct Billing,F,Prescription Drug Coverage,1/29/2017,11/15/2018,6/14/2023,22,9/9/2020,jcb,3552441236916252,2/22/2027,Investment Account,mqomcjx,222.87,7/26/2011,4/18/2015
BILL063763397,ACC831041361,0146 Union Junction,47,20540,370-197-3600,Out-of-Pocket,T,Maternity Coverage,6/22/2016,3/22/2021,2/23/2018,34,6/18/2018,jcb,3554974585611924,1/8/2029,Loan Account,jqqrgnq,792.05,10/27/2018,4/12/2016
BILL905287104,ACC961033015,4 Trailsway Way,10,33487,300-828-6607,Co-Payment,T,Short-Term Health Insurance,11/17/2016,3/2/2021,6/16/2019,14,2/20/2022,switch,490597973120212758,6/26/2024,Certificate of Deposit (CD),geqwieo,650.61,4/24/2019,4/9/2011
BILL826113314,ACC055321541,496 Debs Avenue,2,23208,575-800-9612,Diagnosis-Related Group (DRG),F,Medicaid,3/1/2012,2/3/2020,5/7/2023,7,5/13/2017,jcb,3547914728229499,7/12/2026,Retirement Account,kcfqvrz,256.6,2/10/2020,10/28/2015
BILL077323528,ACC640250342,62 Maywood Avenue,50,38126,318-923-9094,Out-of-Pocket,F,Accident Insurance,2/9/2019,10/30/2020,1/18/2021,24,9/17/2021,diners-club-enroute,201688744211185,10/26/2029,Savings Account,eanzrha,639.74,9/25/2012,8/1/2021
BILL131254618,ACC450563848,63333 Waxwing Trail,30,17126,936-736-3207,Per Diem,T,Catastrophic Health Insurance,10/10/2010,6/19/2020,6/10/2021,8,10/21/2018,jcb,3528045146861515,10/16/2028,Certificate of Deposit (CD),yvwfqxz,987.92,7/17/2020,1/12/2020
BILL767937544,ACC703614401,695 Magdeline Way,30,99215,202-272-8284,Shared Savings,F,Indemnity Plan,8/16/2019,4/16/2020,2/10/2021,12,4/24/2022,switch,4911419326583335,12/2/2029,Credit Account,trsgclh,446.87,10/18/2011,1/28/2014
BILL141694911,ACC337802645,6797 Banding Way,10,45271,795-581-3826,Diagnosis-Related Group (DRG),F,Travel Health Insurance,9/7/2015,9/3/2016,1/18/2019,31,8/12/2019,switch,6759542360520358,2/14/2029,Loan Account,ictxzkp,103.56,7/4/2021,4/12/2014
BILL223956015,ACC873290112,0 Butterfield Road,2,94273,362-814-8440,Deductible,T,Medicare,9/2/2013,3/30/2015,5/8/2017,13,3/19/2020,jcb,3551090840831224,9/25/2025,Checking Account,xqhoxsx,326.74,1/10/2014,4/1/2016
BILL180507976,ACC390350530,580 Buell Road,22,39505,351-560-3609,Prospective Payment System,F,Children's Health Insurance Program (CHIP),8/8/2011,10/12/2019,6/17/2014,10,7/18/2015,mastercard,5385071497275060,2/5/2024,Credit Account,svwfojv,797.13,8/14/2012,12/14/2013
BILL066550939,ACC070349354,2743 Hovde Road,9,60697,814-277-5256,Self-Pay,T,Veterans Health Administration (VA),3/10/2019,1/20/2023,4/13/2022,38,4/25/2024,jcb,3540658648771745,2/5/2026,Checking Account,fnyshri,358.63,10/19/2011,4/19/2017
BILL615332457,ACC465047153,3 Rockefeller Way,5,33763,220-562-6929,Co-Payment,T,Tricare (Military Health Care),7/28/2019,11/23/2022,9/10/2019,39,4/8/2023,jcb,3565733767681676,4/6/2025,Certificate of Deposit (CD),oohpgje,412.77,11/29/2019,1/8/2019
BILL030062704,ACC758824208,7948 Darwin Trail,33,10165,628-823-8944,Fee-for-Service,F,Veterans Health Administration (VA),4/30/2011,1/27/2015,6/6/2024,46,12/11/2019,instapayment,6390072344798529,7/6/2029,Loan Account,czjfbkz,418.36,12/3/2014,12/27/2011
BILL919107806,ACC805402621,685 Packers Park,6,33994,454-465-0467,Sliding Scale,F,Consumer-Driven Health Plan (CDHP),3/4/2020,11/7/2023,11/17/2023,16,7/11/2023,jcb,3547937520477651,10/10/2026,Retirement Account,vlbtliz,767.67,10/27/2018,11/12/2019
BILL046971062,ACC416186082,4941 Hooker Road,10,32969,807-578-2213,Prospective Payment System,F,International Health Insurance,7/4/2018,1/9/2021,6/24/2019,7,12/17/2023,mastercard,5002356155113924,3/5/2027,Credit Account,xsycwyz,423.33,11/9/2013,3/27/2013
BILL655895919,ACC300100296,9 Mayfield Parkway,18,89150,928-742-5092,Deductible,T,Long-Term Care Insurance,11/29/2012,6/7/2023,3/27/2013,48,5/26/2020,maestro,5038569462275033223,3/29/2029,Savings Account,icikwxp,171.46,6/6/2020,12/5/2014
BILL722392074,ACC419075574,7 Schlimgen Way,43,27605,867-291-1495,Direct Billing,F,Vision Insurance,7/12/2019,1/29/2024,5/10/2021,17,3/6/2021,mastercard,5007667455263309,6/22/2024,Savings Account,qhpsvkh,859.44,9/25/2016,9/2/2015
BILL564917676,ACC818469123,65400 Elgar Center,33,15906,837-415-3460,Coinsurance,F,Children's Health Insurance Program (CHIP),9/10/2012,7/16/2024,9/29/2018,23,5/10/2016,jcb,3555698207148358,12/12/2028,Loan Account,kfxorxj,389.12,6/10/2015,11/30/2010
BILL201533666,ACC694121024,8441 Kedzie Circle,19,35295,276-362-8273,Capitation,F,Health Savings Account (HSA)-eligible plan,12/21/2017,10/20/2021,8/24/2018,5,7/18/2021,switch,564182665848534611,6/20/2025,Retirement Account,mnkgolm,910.43,8/7/2018,8/22/2016
BILL088192777,ACC625739686,4165 Washington Street,38,14233,525-685-2254,Deductible,F,Supplemental Insurance,12/8/2012,6/25/2019,6/17/2018,10,11/20/2020,mastercard,5100147288709626,10/13/2025,Loan Account,fpvwozh,540.56,5/28/2014,6/19/2010
BILL575900840,ACC978857738,8646 Prairie Rose Alley,40,32123,876-645-2838,Sliding Scale,F,Flexible Spending Account (FSA)-eligible plan,6/22/2014,10/14/2017,7/18/2014,18,7/21/2016,jcb,3566082530781457,10/23/2025,Credit Account,ncsrvva,113.03,2/6/2010,12/2/2018
BILL025121237,ACC083125344,7 Eastlawn Terrace,3,49560,765-275-7551,Bundled Payments,F,Tricare (Military Health Care),10/10/2020,11/23/2020,12/13/2022,30,10/5/2023,mastercard,5002358589552081,4/3/2024,Loan Account,lgrkgtk,491.77,8/8/2020,12/14/2017
BILL602219267,ACC035219877,5022 Linden Pass,33,90405,210-701-9391,Deductible,F,Mental Health Coverage,12/20/2020,8/2/2021,8/7/2022,41,10/21/2023,jcb,3538654531115177,8/5/2025,Certificate of Deposit (CD),aqzlbik,726.15,2/27/2012,4/15/2013
BILL796464271,ACC079802764,5 Victoria Parkway,9,92513,651-272-3990,Electronic Billing,T,Mental Health Coverage,4/28/2021,1/5/2024,8/10/2022,4,12/3/2022,mastercard,5216177792090487,9/16/2029,Retirement Account,kqeyjhp,787.25,6/18/2021,9/21/2014
BILL664350888,ACC890934174,29318 Carpenter Circle,10,20319,867-857-4713,Sliding Scale,F,Veterans Health Administration (VA),9/2/2013,12/6/2019,8/3/2022,8,6/24/2019,jcb,3554656246654027,12/20/2028,Checking Account,qjkurnm,841.96,3/6/2021,2/8/2011
BILL488507299,ACC022836216,27 Tony Junction,22,11407,165-668-9044,Direct Billing,F,Exclusive Provider Organization (EPO),3/6/2021,2/13/2022,3/5/2023,19,11/6/2022,maestro,6761751665141879,3/16/2025,Checking Account,ewgairn,447.13,5/10/2020,7/5/2011
BILL357242238,ACC995059774,347 Kim Trail,39,77040,912-712-3752,Capitation,T,Health Savings Account (HSA)-eligible plan,10/3/2019,8/6/2023,11/3/2023,14,8/13/2021,bankcard,5602211788552309,12/29/2026,Loan Account,bljyewz,72.13,9/12/2010,8/17/2015
BILL523268939,ACC986804675,0 Anniversary Point,19,15210,445-303-9513,Deductible,F,Maternity Coverage,10/24/2010,9/4/2017,12/20/2016,42,7/4/2021,visa-electron,4405644884633320,10/11/2026,Savings Account,slpxgva,881.26,1/12/2014,12/26/2010
BILL028765760,ACC489110263,1 Rowland Drive,31,39216,803-836-3969,Deductible,F,International Health Insurance,3/31/2018,7/20/2021,9/9/2020,2,5/22/2020,diners-club-international,36341608268807,4/26/2026,Retirement Account,fpidegn,280.94,4/8/2018,2/10/2015
BILL430160743,ACC270862900,446 Saint Paul Street,24,46254,974-310-8245,Time-Based Billing,F,Tricare (Military Health Care),12/5/2011,2/8/2024,4/19/2016,26,12/1/2013,visa,4076915483446,10/18/2024,Retirement Account,pbovozz,815.0,2/8/2017,11/2/2020
BILL219397007,ACC285950076,53220 Northland Junction,12,70174,424-481-5666,Bundled Payments,F,Health Savings Account (HSA)-eligible plan,6/13/2010,9/21/2021,9/6/2017,29,6/15/2023,jcb,3549592584343683,5/8/2025,Investment Account,rrysbon,486.46,9/14/2019,8/21/2013
BILL229712640,ACC031888253,90 Sunbrook Alley,40,92137,699-199-0510,Fee-for-Service,F,Indemnity Plan,7/31/2014,5/26/2019,7/11/2015,22,6/12/2020,jcb,3530420578027172,3/11/2028,Retirement Account,jfuhnwe,786.39,2/25/2019,7/25/2016
BILL899029130,ACC383313874,80850 Saint Paul Drive,11,92844,505-310-9755,Global Budgeting,T,Health Savings Account (HSA)-eligible plan,8/9/2010,12/15/2013,10/26/2022,32,9/24/2010,maestro,6304775575968646,2/24/2025,Investment Account,sqxbmfx,496.6,4/4/2012,10/1/2012
BILL509720979,ACC520744300,75862 Mockingbird Point,41,95194,259-111-1304,Direct Billing,T,Point of Service (POS),2/28/2019,7/29/2021,8/28/2022,34,5/9/2019,mastercard,5010121655487297,8/19/2028,Loan Account,gddpwhk,809.78,11/11/2016,2/21/2020
BILL960406482,ACC203259982,09208 Towne Way,16,05609,789-443-0163,Per Diem,F,Mental Health Coverage,6/7/2016,5/19/2017,2/7/2017,46,10/29/2019,bankcard,5602247790217630,11/16/2025,Retirement Account,abongwk,979.02,2/22/2016,3/17/2016
BILL208557875,ACC352681403,9563 Annamark Avenue,4,33543,135-314-7096,Capitation,F,Health Savings Account (HSA)-eligible plan,6/3/2011,7/24/2024,9/21/2017,42,8/14/2015,jcb,3567114590183131,4/13/2027,Savings Account,xomjbcq,536.42,9/13/2010,12/25/2017
BILL634809344,ACC104518557,1 Dexter Way,24,50369,777-569-2859,Co-Payment,T,Exclusive Provider Organization (EPO),7/20/2018,10/6/2022,12/5/2021,37,7/6/2019,jcb,3540512046034505,10/11/2029,Retirement Account,cnvfizp,320.38,3/23/2021,6/29/2020
BILL270441064,ACC341244187,8712 Dovetail Crossing,8,68124,365-548-5836,Co-Payment,T,Critical Illness Insurance,5/1/2014,12/29/2021,11/20/2020,2,10/25/2020,jcb,3587732114031209,11/17/2026,Retirement Account,qwctwup,642.8,5/13/2018,2/6/2016
BILL514134628,ACC809001119,24775 Wayridge Plaza,47,30506,492-320-9675,Shared Savings,F,International Health Insurance,1/17/2010,10/15/2016,6/27/2014,27,4/3/2020,jcb,3541380618353870,4/4/2028,Savings Account,hiwvnnq,159.37,12/15/2016,4/27/2019
BILL566357022,ACC608496884,0259 Randy Way,10,85284,548-202-3100,Global Budgeting,T,Catastrophic Health Insurance,6/30/2018,11/21/2021,12/2/2019,10,3/18/2020,americanexpress,374283407223254,12/8/2029,Investment Account,pjpfmuf,953.51,11/27/2015,5/30/2013
BILL277685701,ACC730981357,16 Schurz Avenue,15,78220,483-971-1635,Fee-for-Service,F,High Deductible Health Plan (HDHP),7/30/2010,11/6/2014,5/8/2017,34,4/30/2024,jcb,3585556007000902,4/15/2024,Credit Account,ftgvlwc,608.89,10/2/2017,6/9/2020
BILL888169209,ACC897392842,65 Declaration Court,24,35295,764-262-8126,Resource-Based Relative Value Scale (RBRVS),T,Long-Term Care Insurance,12/20/2015,3/17/2016,2/12/2024,47,12/26/2017,maestro,5038303207747026,10/17/2028,Credit Account,dbrvxpd,355.27,9/19/2010,2/9/2021
BILL336918989,ACC300165590,33 Fairview Court,38,10459,753-767-8969,Coinsurance,T,Health Savings Account (HSA)-eligible plan,11/28/2020,6/23/2023,6/8/2024,26,3/28/2023,jcb,3579028353538370,12/14/2026,Credit Account,ftiruah,420.13,4/4/2012,8/31/2021
BILL234918487,ACC493320818,4 School Parkway,49,29416,881-636-4839,Coinsurance,F,Consumer-Driven Health Plan (CDHP),5/3/2016,10/25/2023,7/4/2016,23,5/26/2016,china-unionpay,5602215692343945,1/5/2029,Retirement Account,hjloavw,827.03,11/25/2010,5/7/2018
BILL549534531,ACC590019146,99883 Mesta Parkway,46,91520,871-100-6913,Self-Pay,F,Veterans Health Administration (VA),6/11/2020,10/30/2023,4/7/2022,21,10/31/2021,diners-club-carte-blanche,30150863515364,6/13/2028,Credit Account,dybzejh,629.76,11/4/2014,4/12/2010
BILL111256532,ACC377522063,1639 Warner Pass,45,73129,450-764-7577,Sliding Scale,F,Exclusive Provider Organization (EPO),9/19/2020,6/28/2023,10/5/2023,27,2/11/2024,laser,6706787197713353752,10/27/2028,Credit Account,fkspnct,233.83,2/6/2013,2/5/2021
BILL762549191,ACC692666956,8140 Clove Street,45,34135,660-185-8585,Self-Pay,T,Point of Service (POS),4/25/2017,3/13/2023,12/29/2017,5,6/13/2023,maestro,676377897492365698,1/11/2029,Credit Account,zppdxeo,964.33,12/9/2016,10/10/2017
BILL194816620,ACC450563848,489 Fulton Trail,13,10155,608-383-1282,Out-of-Pocket,T,Fee-for-Service (FFS),4/9/2021,10/25/2022,7/9/2023,6,5/28/2021,jcb,3542137800404047,1/22/2026,Savings Account,ntaemjb,761.25,1/25/2019,1/12/2020
BILL770179101,ACC244496369,5 3rd Parkway,10,98506,327-305-6280,Deductible,T,Preferred Provider Organization (PPO),7/9/2015,9/19/2016,11/6/2021,26,5/17/2024,jcb,3538741182169825,3/23/2025,Investment Account,whyowtl,7.61,11/29/2014,3/1/2012
BILL791375960,ACC637267368,7731 Summit Lane,44,90005,571-403-0224,Per Diem,F,Medicaid,2/19/2014,10/28/2017,1/13/2020,1,8/29/2022,jcb,3569364800641232,7/3/2025,Investment Account,pbxursu,296.53,8/7/2015,12/30/2015
BILL586884885,ACC908335278,675 Moland Street,10,31296,476-545-3954,Diagnosis-Related Group (DRG),F,Exclusive Provider Organization (EPO),7/2/2020,4/1/2021,1/15/2022,19,4/21/2024,jcb,3554428523204284,12/23/2025,Certificate of Deposit (CD),mqaryhi,911.0,9/26/2021,7/15/2016
BILL022290304,ACC970939655,6031 Northridge Parkway,50,15250,739-743-2723,Diagnosis-Related Group (DRG),F,High Deductible Health Plan (HDHP),1/9/2016,2/8/2021,3/4/2022,12,7/9/2021,jcb,3576718414275433,3/27/2029,Retirement Account,zzvxlcu,115.32,10/13/2021,2/2/2016
BILL781479050,ACC384285166,4038 Maple Circle,20,99709,631-275-9469,Resource-Based Relative Value Scale (RBRVS),T,Substance Abuse Treatment Coverage,8/10/2016,10/13/2016,5/30/2021,18,12/9/2016,jcb,3552746624892455,3/19/2027,Loan Account,tiebari,362.25,4/19/2019,5/7/2021
BILL524338926,ACC311899845,9 Parkside Way,2,33411,960-601-6813,Co-Payment,F,Maternity Coverage,9/29/2010,2/10/2021,10/19/2012,39,5/12/2019,mastercard,5584416445031959,2/22/2028,Investment Account,iwgdbvf,993.92,5/11/2019,8/7/2010
BILL339115544,ACC365312915,1094 Parkside Terrace,28,20508,483-603-2727,Self-Pay,T,Exclusive Provider Organization (EPO),5/25/2010,1/28/2019,4/9/2013,1,7/25/2024,jcb,3568327664014813,8/6/2027,Checking Account,ejbacby,413.7,1/29/2021,10/6/2011
BILL142576071,ACC376250317,110 Cherokee Hill,3,19115,865-223-1021,Deductible,F,Substance Abuse Treatment Coverage,11/15/2010,7/25/2019,10/18/2018,12,11/12/2014,jcb,3561402606327487,4/17/2024,Savings Account,dvdymro,852.0,4/3/2015,11/22/2010
BILL642595350,ACC343848932,2451 Nova Avenue,19,22234,867-637-1878,Bundled Payments,T,Maternity Coverage,2/11/2014,6/8/2022,7/21/2018,19,7/2/2022,diners-club-enroute,201637239035187,5/13/2029,Credit Account,tmtqfnr,623.8,1/21/2018,10/15/2017
BILL497972980,ACC032198451,15795 Helena Parkway,35,70826,629-893-7450,Global Budgeting,F,Point of Service (POS),8/7/2020,7/10/2022,7/30/2021,47,6/26/2021,jcb,3533556712860874,2/10/2028,Loan Account,sbzeqjk,924.37,8/6/2018,9/2/2018
BILL614467466,ACC153146692,03634 Del Sol Lane,46,79159,158-391-8036,Prospective Payment System,F,Long-Term Care Insurance,1/2/2018,10/13/2018,8/9/2023,8,8/23/2019,maestro,5038805727076349257,10/4/2024,Investment Account,sxnbaar,563.32,7/23/2016,12/26/2014
BILL719707408,ACC887332409,9286 Lakewood Gardens Trail,39,36622,952-317-6228,Prospective Payment System,T,Long-Term Care Insurance,6/9/2017,5/15/2019,11/22/2021,25,3/18/2019,jcb,3542030162580860,10/26/2026,Savings Account,ljcrryu,811.66,8/19/2019,6/7/2021
BILL612136842,ACC061409731,4 Merrick Pass,44,06606,479-240-3949,Coinsurance,F,Indemnity Plan,5/11/2014,4/13/2019,1/5/2024,33,8/10/2014,jcb,3532306170745626,1/16/2027,Checking Account,mcyzkep,706.78,1/26/2012,3/21/2015
BILL599077883,ACC391169830,109 Atwood Junction,18,93005,454-172-1409,Out-of-Pocket,T,Mental Health Coverage,2/21/2014,4/3/2014,4/22/2019,37,1/18/2016,mastercard,5010120968113483,4/1/2029,Savings Account,nmnqxzg,562.26,11/25/2021,3/5/2019
BILL420134196,ACC090471758,2 Green Ridge Place,13,79415,877-952-8787,Bundled Payments,F,Accident Insurance,7/10/2019,1/1/2022,12/26/2020,33,2/4/2021,instapayment,6379480654519762,8/11/2028,Credit Account,fkzrpys,921.37,2/7/2020,5/21/2012
BILL559051977,ACC438449296,99208 Cambridge Drive,19,55423,447-880-2624,Third-Party Billing,F,Substance Abuse Treatment Coverage,9/10/2011,10/19/2018,11/3/2014,13,2/15/2021,visa-electron,4917941503485400,3/4/2029,Credit Account,qjphjyp,340.48,12/20/2020,1/15/2019
BILL207191275,ACC885803885,32 Paget Point,3,60630,562-532-7346,Third-Party Billing,T,Exclusive Provider Organization (EPO),10/27/2018,9/17/2022,9/7/2019,6,3/3/2023,jcb,3564575750627328,10/18/2024,Retirement Account,hszsjnt,756.28,3/7/2013,9/17/2018
BILL537950430,ACC476007339,8516 Bunting Lane,15,46254,605-405-0768,Bundled Payments,F,Dental Insurance,4/9/2012,1/1/2015,8/21/2019,38,6/3/2016,jcb,3554438830733693,10/16/2027,Retirement Account,bughkie,112.79,7/13/2020,12/10/2019
BILL014927940,ACC023605551,1278 Hayes Lane,30,20540,241-815-4611,Self-Pay,F,International Health Insurance,12/11/2012,6/21/2013,2/14/2014,39,6/24/2021,jcb,3529825482503642,9/18/2026,Certificate of Deposit (CD),njzfslk,177.86,2/13/2013,9/5/2013
BILL125017962,ACC537666453,585 Everett Lane,17,02208,826-945-2317,Fee-for-Service,T,Critical Illness Insurance,8/28/2011,6/22/2016,7/27/2019,9,4/25/2013,instapayment,6386761165792969,1/3/2027,Certificate of Deposit (CD),peldevp,770.16,9/18/2017,5/19/2011
BILL606217734,ACC762804963,5196 Nevada Drive,7,11220,526-248-6417,Deductible,F,Travel Health Insurance,5/31/2017,6/7/2021,7/5/2023,32,11/5/2021,switch,6759644726481057351,8/21/2026,Credit Account,yhulotv,464.22,11/23/2010,7/22/2011
BILL383469187,ACC716606676,85491 Monica Road,46,78205,800-843-4839,Direct Billing,F,Substance Abuse Treatment Coverage,3/15/2020,5/27/2024,1/17/2023,9,10/19/2023,maestro,63040324947366674,1/19/2025,Checking Account,ibwbfpn,736.19,6/29/2020,5/8/2021
BILL341000446,ACC892184799,46 Dayton Terrace,3,31196,637-353-7556,Capitation,F,Exclusive Provider Organization (EPO),2/11/2020,4/29/2021,9/24/2023,22,10/8/2020,maestro,67595897901859172,2/21/2028,Checking Account,efekqzj,324.54,2/26/2013,5/19/2016
BILL307228328,ACC719622888,4 Sutteridge Place,37,98506,480-398-9548,Co-Payment,T,Health Savings Account (HSA)-eligible plan,1/13/2011,4/4/2019,1/1/2014,12,7/6/2013,americanexpress,372301283391029,8/29/2027,Credit Account,ekrinjs,555.51,3/22/2020,6/4/2016
BILL049306725,ACC118014048,55 Fairview Way,36,06505,970-920-0151,Self-Pay,T,Flexible Spending Account (FSA)-eligible plan,12/18/2015,1/4/2024,7/4/2018,34,6/27/2023,jcb,3579158652618449,3/19/2026,Savings Account,dxakdql,232.67,5/27/2018,3/27/2014
BILL317292043,ACC796545355,41 Dryden Crossing,7,63169,483-168-0114,Out-of-Pocket,T,Catastrophic Health Insurance,8/1/2020,1/30/2022,2/4/2024,6,12/6/2023,mastercard,5489620432175937,9/8/2028,Certificate of Deposit (CD),xdxgtsx,996.73,1/2/2019,7/14/2014
BILL128857791,ACC770782309,214 Walton Terrace,42,55423,337-330-9039,Sliding Scale,T,Medicaid,11/4/2020,7/22/2022,1/10/2024,36,9/3/2021,jcb,3581200032778547,4/27/2025,Investment Account,wnzsuxh,910.62,1/18/2021,1/18/2019
BILL808314304,ACC494216814,4093 Dexter Center,38,33180,653-175-1983,Bundled Payments,F,Health Savings Account (HSA)-eligible plan,11/21/2011,7/31/2014,6/11/2015,3,4/18/2013,jcb,3533595254527822,8/3/2027,Certificate of Deposit (CD),rndpced,50.35,1/22/2013,2/8/2012
BILL203469019,ACC808455319,82 Tomscot Center,29,38114,572-183-5653,Direct Billing,F,Health Maintenance Organization (HMO),6/19/2016,1/27/2017,10/2/2018,7,12/22/2019,visa,4017955523645933,8/6/2028,Checking Account,sgsfffm,830.38,3/15/2015,5/9/2017
