InvoiceNumber,InvoiceDate,NoOutstandingInvoices,DueDate,PaidDate,InvoiceStatus,BillingPeriod,BAcctNumber,CustomerSSN,ContractNumber
INVC-83687,8/5/2020,4,1/21/2022,1/23/2021,Paid,Bi-Weekly,BILL054853944,597-42-6584,CNT-CDP-3742-699
INVC-62251,1/1/2021,2,11/29/2022,,Unpaid,Weekly,BILL420842462,335-18-2624,CNT-CDP-8669-871
INVC-75880,6/17/2020,3,6/26/2022,6/24/2020,Paid,Bi-Weekly,BILL992783641,734-17-0352,CNT-CDP-2212-507
INVC-61463,7/29/2020,5,10/21/2022,,Unpaid,Quarterly,BILL221108172,574-47-8818,CNT-CDP-3509-463
INVC-65571,5/22/2020,2,9/8/2022,11/10/2020,Paid,Bi-Weekly,BILL110591657,608-97-9026,CNT-CDP-5083-233
INVC-58109,5/10/2020,4,3/28/2022,,Unpaid,Bi-Weekly,BILL380898704,612-65-7466,CNT-CDP-4771-659
INVC-02836,3/10/2020,3,12/16/2022,3/16/2020,Paid,Semi-Annually,BILL193677987,235-15-1117,CNT-CDP-0965-714
INVC-41936,11/14/2019,4,9/26/2022,10/28/2020,Paid,Bi-Weekly,BILL328322863,638-84-9548,CNT-CDP-6776-498
INVC-03941,8/6/2021,3,4/30/2022,8/27/2021,Paid,Monthly,BILL331320990,125-06-2645,CNT-CDP-0300-151
INVC-37253,10/20/2021,4,12/6/2022,10/26/2021,Paid,Bi-Weekly,BILL430761986,321-98-7790,CNT-CDP-4710-088
INVC-85997,1/12/2020,5,5/2/2022,,Unpaid,Bi-Weekly,BILL508067934,421-49-3356,CNT-CDP-1106-486
INVC-42783,6/22/2021,4,3/20/2022,12/27/2021,Paid,Quarterly,BILL461927510,708-53-8002,CNT-CDP-9907-355
INVC-43709,1/20/2021,1,9/27/2022,6/25/2021,Paid,Weekly,BILL347271463,504-44-5145,CNT-CDP-4085-411
INVC-57355,8/28/2021,4,8/14/2022,,Unpaid,Daily,BILL312170569,165-41-9536,CNT-CDP-2478-608
INVC-67114,10/7/2020,2,5/31/2022,4/7/2021,Paid,Quarterly,BILL408193310,261-11-1287,CNT-CDP-8945-045
INVC-79136,11/30/2021,2,11/22/2022,12/28/2021,Paid,Weekly,BILL326663183,696-14-0473,CNT-CDP-1152-783
INVC-57121,11/25/2019,5,3/7/2022,7/8/2021,Paid,Semi-Annually,BILL228719387,253-80-6341,CNT-CDP-8711-127
INVC-49699,1/6/2020,2,1/31/2022,9/26/2020,Paid,Quarterly,BILL056420442,875-28-7154,CNT-CDP-3821-674
INVC-09928,9/11/2021,3,8/26/2022,10/16/2021,Paid,Annually,BILL398659867,273-78-1033,CNT-CDP-1434-089
INVC-31893,8/25/2019,3,8/21/2022,4/23/2020,Paid,Annually,BILL966700524,464-65-1856,CNT-CDP-0090-492
INVC-72098,2/1/2020,3,11/24/2022,,Unpaid,Semi-Annually,BILL712533641,252-62-1326,CNT-CDP-9534-035
INVC-51959,2/15/2021,2,4/15/2022,10/18/2021,Paid,Semi-Annually,BILL786728241,483-11-4619,CNT-CDP-2232-683
INVC-75383,3/10/2019,2,12/26/2022,9/7/2020,Paid,Bi-Weekly,BILL603581159,205-90-3158,CNT-CDP-2122-869
INVC-22508,11/7/2019,4,9/30/2022,8/17/2021,Paid,Bi-Weekly,BILL722548623,256-22-0075,CNT-CDP-0069-374
INVC-45132,12/9/2019,5,8/2/2022,,Unpaid,Weekly,BILL678902800,727-05-3994,CNT-CDP-9006-328
INVC-60465,10/31/2019,3,1/12/2022,,Unpaid,Bi-Weekly,BILL822722388,858-63-2762,CNT-CDP-1709-906
INVC-44645,1/8/2021,2,11/11/2022,,Unpaid,Monthly,BILL588231398,545-54-0867,CNT-CDP-6853-799
INVC-06566,1/14/2019,4,5/30/2022,2/3/2019,Paid,Monthly,BILL622542868,743-99-0167,CNT-CDP-4238-598
INVC-24932,9/7/2019,2,6/27/2022,1/19/2020,Paid,Semi-Annually,BILL139911718,150-83-5042,CNT-CDP-0887-483
INVC-29187,2/25/2020,1,11/3/2022,2/27/2020,Paid,Annually,BILL868516999,211-01-1229,CNT-CDP-5005-153
INVC-33628,8/4/2021,3,3/28/2022,,Unpaid,Daily,BILL539747892,107-22-6715,CNT-CDP-0152-682
INVC-60297,12/24/2020,3,10/11/2022,12/11/2021,Paid,Annually,BILL195529607,791-08-5510,CNT-CDP-4954-947
INVC-12396,11/22/2021,3,12/22/2022,11/30/2021,Paid,Daily,BILL255673309,863-73-9525,CNT-CDP-1824-562
INVC-89691,12/26/2020,2,8/2/2022,,Unpaid,Bi-Weekly,BILL424620368,413-10-2162,CNT-CDP-9688-417
INVC-30075,10/16/2020,5,6/3/2022,,Unpaid,Quarterly,BILL482591397,260-15-1909,CNT-CDP-6186-446
INVC-40154,11/19/2020,4,5/23/2022,,Unpaid,Quarterly,BILL098507569,348-05-7506,CNT-CDP-0883-374
INVC-88291,4/26/2021,4,2/22/2022,8/1/2021,Paid,Semi-Annually,BILL139050586,305-25-5939,CNT-CDP-6703-032
INVC-21921,8/8/2019,5,6/2/2022,6/1/2020,Paid,Weekly,BILL595695719,500-85-5255,CNT-CDP-3341-975
INVC-51324,11/25/2021,3,1/22/2022,,Unpaid,Daily,BILL627936098,288-69-8239,CNT-CDP-2588-283
INVC-44646,3/18/2019,1,7/12/2022,5/31/2019,Paid,Annually,BILL142305854,159-80-8720,CNT-CDP-2116-290
INVC-94084,8/14/2020,1,12/6/2022,8/27/2020,Paid,Annually,BILL824115353,505-12-3386,CNT-CDP-3750-460
INVC-68434,10/27/2019,2,5/28/2022,10/28/2020,Paid,Monthly,BILL567712564,879-99-8554,CNT-CDP-6101-976
INVC-16313,2/3/2021,4,6/4/2022,,Unpaid,Monthly,BILL079550765,600-97-2729,CNT-CDP-7991-575
INVC-74930,1/12/2020,2,4/19/2022,2/27/2021,Paid,Annually,BILL725805816,411-70-3989,CNT-CDP-1503-699
INVC-88325,7/26/2021,1,11/15/2022,,Unpaid,Monthly,BILL878849163,863-58-3723,CNT-CDP-1332-824
INVC-81714,2/5/2020,4,12/20/2022,,Unpaid,Weekly,BILL737154731,836-04-2999,CNT-CDP-2934-125
INVC-28783,11/28/2020,3,2/10/2022,,Unpaid,Quarterly,BILL257411089,855-49-6195,CNT-CDP-9973-106
INVC-30861,5/25/2021,2,4/23/2022,8/26/2021,Paid,Quarterly,BILL611987749,777-67-9182,CNT-CDP-8971-863
INVC-09048,12/4/2019,3,12/22/2022,11/18/2021,Paid,Quarterly,BILL317620668,213-46-0575,CNT-CDP-9461-087
INVC-52402,10/26/2020,5,6/14/2022,,Unpaid,Daily,BILL175135060,702-58-2838,CNT-CDP-5224-503
INVC-49534,4/30/2019,5,9/10/2022,,Unpaid,Daily,BILL644071118,366-67-0216,CNT-CDP-2586-072
INVC-60479,10/14/2020,5,2/18/2022,12/6/2021,Paid,Annually,BILL331241220,785-80-4695,CNT-CDP-0453-769
INVC-32006,6/3/2021,2,1/3/2022,6/26/2021,Paid,Weekly,BILL926871324,654-30-6134,CNT-CDP-8825-295
INVC-94124,11/5/2021,1,7/7/2022,11/19/2021,Paid,Weekly,BILL329127256,763-20-7749,CNT-CDP-8743-030
INVC-43611,4/8/2021,1,6/26/2022,,Unpaid,Weekly,BILL722630596,611-29-2776,CNT-CDP-8399-261
INVC-47243,10/19/2021,2,6/14/2022,12/4/2021,Paid,Semi-Annually,BILL734821259,269-71-6547,CNT-CDP-4246-537
INVC-49590,5/20/2020,4,8/3/2022,,Unpaid,Daily,BILL546053708,192-55-0420,CNT-CDP-9203-822
INVC-91078,3/12/2021,4,1/19/2022,3/21/2021,Paid,Weekly,BILL032537166,832-63-4875,CNT-CDP-2268-140
INVC-04684,2/27/2021,2,3/15/2022,,Unpaid,Annually,BILL375053307,882-30-1675,CNT-CDP-5274-895
INVC-42910,12/22/2021,3,9/21/2022,12/22/2021,Paid,Daily,BILL689822033,176-82-6543,CNT-CDP-4879-954
INVC-81818,5/22/2019,1,2/18/2022,,Unpaid,Semi-Annually,BILL627176114,490-76-3618,CNT-CDP-0439-088
INVC-88909,9/17/2021,1,2/26/2022,10/12/2021,Paid,Quarterly,BILL737784692,497-94-2225,CNT-CDP-3309-004
INVC-32367,4/25/2019,3,11/6/2022,11/10/2019,Paid,Semi-Annually,BILL848678761,526-47-3815,CNT-CDP-2535-634
INVC-74816,7/13/2021,5,2/5/2022,9/16/2021,Paid,Daily,BILL159659820,475-24-7548,CNT-CDP-6459-645
INVC-52819,1/16/2020,1,4/23/2022,1/28/2021,Paid,Monthly,BILL420037474,158-32-3285,CNT-CDP-0155-591
INVC-59886,9/16/2021,1,10/17/2022,12/29/2021,Paid,Weekly,BILL132720346,291-23-3142,CNT-CDP-7985-097
INVC-06293,10/3/2019,3,6/17/2022,4/29/2020,Paid,Monthly,BILL482592773,398-74-8575,CNT-CDP-8511-813
INVC-32411,11/19/2019,2,10/8/2022,3/10/2020,Paid,Quarterly,BILL086901417,813-22-2252,CNT-CDP-1305-765
INVC-52985,2/22/2021,2,10/17/2022,8/4/2021,Paid,Quarterly,BILL890330869,855-69-8731,CNT-CDP-4523-793
INVC-05659,9/8/2021,3,2/28/2022,11/7/2021,Paid,Daily,BILL292736305,817-22-9664,CNT-CDP-1201-052
INVC-47512,11/18/2019,3,2/16/2022,,Unpaid,Weekly,BILL708486371,798-75-6596,CNT-CDP-1231-632
INVC-32416,2/2/2019,4,6/20/2022,10/27/2021,Paid,Annually,BILL514060828,230-79-0511,CNT-CDP-1601-529
INVC-48350,6/12/2021,3,4/17/2022,6/16/2021,Paid,Daily,BILL593573418,852-44-3113,CNT-CDP-4692-704
INVC-36448,3/23/2021,5,3/25/2022,4/23/2021,Paid,Bi-Weekly,BILL549074713,850-49-5357,CNT-CDP-4000-078
INVC-13146,4/1/2021,3,12/27/2022,12/23/2021,Paid,Monthly,BILL006956422,586-70-4628,CNT-CDP-4388-561
INVC-28704,4/16/2021,4,9/6/2022,8/12/2021,Paid,Monthly,BILL201075007,240-53-5770,CNT-CDP-8617-798
INVC-59866,8/14/2019,1,10/17/2022,,Unpaid,Monthly,BILL343701809,333-95-4817,CNT-CDP-4443-151
INVC-66206,3/8/2019,1,4/22/2022,3/30/2019,Paid,Monthly,BILL999872098,358-64-7392,CNT-CDP-3737-853
INVC-34796,10/23/2020,1,9/27/2022,11/20/2021,Paid,Daily,BILL449719315,438-17-9370,CNT-CDP-5422-451
INVC-79395,5/14/2020,3,8/19/2022,,Unpaid,Semi-Annually,BILL214340132,785-51-7143,CNT-CDP-3895-588
INVC-48095,4/16/2019,3,10/10/2022,,Unpaid,Daily,BILL158129667,839-73-6465,CNT-CDP-3314-074
INVC-55319,9/15/2020,5,3/9/2022,11/29/2020,Paid,Bi-Weekly,BILL836288949,598-35-9246,CNT-CDP-7938-639
INVC-58585,7/29/2020,5,1/2/2022,,Unpaid,Daily,BILL808675680,823-30-1230,CNT-CDP-4429-498
INVC-00755,12/9/2021,3,12/21/2022,,Unpaid,Semi-Annually,BILL171349185,464-17-5401,CNT-CDP-9110-684
INVC-13220,2/3/2021,5,2/10/2022,8/13/2021,Paid,Bi-Weekly,BILL214217718,397-69-2805,CNT-CDP-1347-834
INVC-35336,2/24/2021,5,7/8/2022,9/2/2021,Paid,Annually,BILL725482011,355-88-3336,CNT-CDP-0545-748
INVC-56268,8/11/2020,1,6/29/2022,9/11/2020,Paid,Annually,BILL122403242,516-66-2963,CNT-CDP-4631-613
INVC-51632,2/6/2019,5,3/8/2022,12/22/2019,Paid,Bi-Weekly,BILL913841060,369-81-1487,CNT-CDP-7487-651
INVC-39348,6/21/2021,1,5/11/2022,8/6/2021,Paid,Weekly,BILL003072360,306-38-5502,CNT-CDP-9812-999
INVC-13363,3/4/2019,3,5/23/2022,,Unpaid,Semi-Annually,BILL852379809,437-05-5776,CNT-CDP-7619-646
INVC-40678,4/30/2020,2,6/13/2022,,Unpaid,Weekly,BILL456409667,718-74-5720,CNT-CDP-5599-542
INVC-05482,5/10/2019,1,2/18/2022,9/6/2020,Paid,Bi-Weekly,BILL609930631,654-18-2473,CNT-CDP-4874-154
INVC-42027,11/18/2021,2,6/19/2022,11/28/2021,Paid,Annually,BILL490531911,135-41-7841,CNT-CDP-9508-453
INVC-83569,1/16/2020,5,4/8/2022,12/11/2021,Paid,Bi-Weekly,BILL075410498,255-68-1656,CNT-CDP-1323-668
INVC-81218,6/16/2020,5,11/16/2022,,Unpaid,Weekly,BILL322808275,185-30-3761,CNT-CDP-9194-620
INVC-84880,2/4/2020,1,12/27/2022,8/8/2020,Paid,Monthly,BILL553902225,388-12-2867,CNT-CDP-1358-438
INVC-98030,11/8/2019,2,7/2/2022,11/5/2021,Paid,Monthly,BILL969556296,646-41-5274,CNT-CDP-9035-645
