AcctNumber,CustomerSSN,NoMonthsInactive,ActivityStatus,ActivityStatusDate,AccountEstablishedDate
ACC132542270,328-54-2580,28,In Review,11/12/2016,7/18/2015
ACC458490016,721-80-5534,26,Dormant,9/19/2017,12/17/2018
ACC662761990,856-82-3134,39,Active,7/11/2015,11/16/2020
ACC188128113,777-35-9343,29,Active,2/28/2018,8/27/2016
ACC605389017,612-53-1742,15,Suspended,6/21/2019,3/16/2010
ACC540923541,638-71-5236,14,Active,10/5/2019,10/27/2015
ACC848293115,787-25-1617,13,Dormant,7/29/2010,11/18/2020
ACC138985907,639-10-5779,37,Dormant,3/18/2020,8/31/2021
ACC334289951,359-09-5059,75,Suspended,5/17/2015,12/18/2015
ACC784779177,334-78-3433,65,Restricted,8/14/2011,1/29/2020
ACC922795622,705-11-2944,10,Inactive,1/7/2010,1/26/2014
ACC256217083,457-48-0419,95,Suspended,2/5/2011,12/4/2010
ACC800402944,683-97-9393,62,In Review,5/13/2021,2/15/2020
ACC572763870,276-28-9081,90,Suspended,6/16/2011,7/2/2016
ACC385385815,367-62-9915,36,Closed,6/9/2018,1/9/2017
ACC885803885,176-38-9771,96,Archived,4/9/2014,9/17/2018
ACC313341497,305-32-7126,12,In Review,4/6/2017,12/28/2014
ACC671364826,137-73-4935,100,Inactive,1/1/2017,4/29/2016
ACC321162942,106-91-3893,8,Archived,9/22/2017,9/20/2021
ACC808685572,260-91-8767,49,Pending Activation,7/12/2015,10/20/2013
ACC713950862,179-21-3190,91,Inactive,11/7/2013,6/19/2017
ACC414717150,487-76-0882,31,In Review,2/14/2012,3/12/2011
ACC190904063,418-23-4260,34,In Review,6/5/2018,12/15/2014
ACC351910374,647-51-6477,77,Inactive,11/29/2020,11/2/2014
ACC845880430,395-52-7205,98,Suspended,10/16/2015,5/19/2010
ACC699733791,160-40-0524,78,On Hold,3/26/2014,2/10/2015
ACC987372610,336-67-7928,99,In Review,7/15/2014,9/14/2019
ACC305050376,110-86-9732,3,Pending Activation,5/5/2018,2/21/2012
ACC706186520,409-69-8234,99,Archived,2/22/2019,3/3/2020
ACC991958432,729-52-4503,1,Inactive,8/27/2019,12/24/2016
ACC028483902,391-99-3823,33,Suspended,1/16/2011,4/8/2021
ACC405455904,702-29-5126,1,Inactive,10/9/2010,12/17/2018
ACC426794628,361-44-1301,16,In Review,4/20/2020,8/13/2020
ACC648620518,704-64-5732,47,In Review,1/6/2017,4/16/2011
ACC441799661,168-94-1362,35,Archived,2/21/2016,10/9/2020
ACC988600657,339-35-4231,22,Restricted,1/15/2012,1/20/2018
ACC654785993,198-11-6281,35,Dormant,9/4/2015,11/10/2019
ACC812441644,585-96-5064,2,In Review,11/20/2021,4/25/2014
ACC068142238,885-30-2051,74,Archived,6/6/2013,5/30/2015
ACC513613701,723-08-7859,67,Restricted,5/22/2014,5/16/2010
ACC265026339,536-07-9646,19,Pending Activation,11/12/2018,9/1/2017
ACC031661705,500-40-8501,94,Closed,8/30/2013,3/17/2016
ACC384285166,300-58-6636,67,Suspended,5/11/2016,5/7/2021
ACC901884892,678-02-9516,95,Suspended,3/17/2012,6/21/2011
ACC759729256,458-51-0514,19,Inactive,2/9/2018,4/13/2017
ACC571130607,121-36-8462,100,Closed,2/5/2019,9/11/2020
ACC303486147,314-07-7920,25,Archived,4/21/2020,4/13/2015
ACC833322014,423-64-3992,49,Archived,3/31/2013,5/8/2018
ACC322884688,333-10-5075,100,Active,3/26/2018,3/29/2019
ACC020994982,523-80-3435,5,Dormant,5/4/2011,12/16/2011
ACC357676998,780-52-0025,60,Restricted,2/8/2018,11/2/2016
ACC475411886,546-67-4067,16,In Review,12/5/2014,1/21/2016
ACC355052726,694-45-4388,25,Closed,8/4/2021,3/16/2019
ACC931504719,420-52-7613,100,On Hold,8/21/2013,8/15/2016
ACC997721205,549-08-3325,80,Active,8/13/2014,7/18/2015
ACC101082243,856-84-5835,48,Archived,5/19/2011,3/25/2020
ACC940736793,508-77-1702,26,Restricted,12/29/2019,7/27/2021
ACC835033918,785-92-4718,60,Active,6/18/2014,4/1/2015
ACC923065784,597-42-6584,69,Pending Activation,9/30/2013,3/30/2019
ACC418413309,335-18-2624,83,Inactive,9/30/2018,3/5/2013
ACC547599851,734-17-0352,63,Closed,9/29/2020,6/23/2015
ACC454974168,574-47-8818,14,Active,10/15/2017,3/31/2018
ACC650154560,608-97-9026,75,Inactive,1/29/2014,4/10/2013
ACC927051120,612-65-7466,46,Archived,2/17/2012,5/28/2014
ACC961451079,235-15-1117,18,Suspended,6/22/2015,3/8/2012
ACC656669914,638-84-9548,4,Closed,10/5/2020,2/3/2010
ACC640006423,125-06-2645,60,Closed,3/5/2011,1/6/2021
ACC620714135,321-98-7790,41,In Review,7/26/2015,5/31/2018
ACC349059507,421-49-3356,75,Suspended,9/2/2010,5/18/2012
ACC720673367,708-53-8002,74,Active,5/17/2016,7/12/2020
ACC711919215,504-44-5145,94,Suspended,8/6/2016,3/21/2018
ACC502729680,165-41-9536,95,Inactive,9/25/2020,3/25/2019
ACC278478229,261-11-1287,25,Closed,5/2/2016,12/31/2015
ACC062830315,696-14-0473,100,Dormant,3/1/2011,4/9/2010
ACC000850174,253-80-6341,40,In Review,1/3/2016,12/30/2015
ACC025707310,875-28-7154,52,Dormant,7/29/2013,2/2/2018
ACC889121066,273-78-1033,25,In Review,6/4/2017,5/11/2015
ACC831041361,464-65-1856,75,Dormant,2/23/2020,4/12/2016
ACC640250342,252-62-1326,33,Restricted,5/17/2012,8/1/2021
ACC145452603,483-11-4619,52,Suspended,8/2/2011,4/16/2017
ACC229086682,205-90-3158,19,Suspended,5/15/2011,3/3/2017
ACC926686229,256-22-0075,59,Active,5/28/2020,11/18/2012
ACC780647732,727-05-3994,32,Restricted,5/10/2010,8/4/2018
ACC169856662,858-63-2762,98,In Review,1/10/2016,6/10/2010
ACC894773027,545-54-0867,8,Dormant,3/27/2014,4/28/2014
ACC660978727,743-99-0167,77,Closed,6/8/2018,4/29/2010
ACC669827657,150-83-5042,82,Restricted,12/15/2013,4/8/2014
ACC328965999,211-01-1229,46,Inactive,4/12/2014,9/24/2016
ACC409201461,107-22-6715,24,Closed,12/21/2015,8/2/2020
ACC574001557,791-08-5510,82,Restricted,5/12/2012,6/19/2014
ACC761901327,863-73-9525,27,Restricted,4/7/2014,3/17/2016
ACC197700462,413-10-2162,77,Closed,3/27/2016,12/29/2010
ACC001167070,260-15-1909,57,Restricted,12/27/2010,5/18/2016
ACC146489984,348-05-7506,70,Inactive,10/15/2013,9/4/2015
ACC749714580,305-25-5939,18,Suspended,11/13/2017,3/19/2012
ACC842639557,500-85-5255,2,Active,3/10/2021,1/3/2012
ACC330672296,288-69-8239,15,Active,3/4/2018,8/24/2019
ACC245904565,159-80-8720,51,In Review,6/18/2019,9/16/2016
ACC656656582,505-12-3386,24,Archived,9/18/2019,9/21/2019
ACC786160629,879-99-8554,13,On Hold,8/1/2010,11/19/2019
ACC687799342,600-97-2729,13,Restricted,12/24/2018,2/23/2013
ACC613094459,411-70-3989,81,Inactive,3/7/2014,11/22/2019
ACC038026288,863-58-3723,91,On Hold,7/14/2015,11/4/2010
ACC541048244,836-04-2999,96,On Hold,11/22/2019,9/6/2011
ACC601020143,855-49-6195,5,Pending Activation,2/17/2017,3/28/2012
ACC695648011,777-67-9182,66,Restricted,5/23/2021,10/1/2015
ACC913387825,213-46-0575,66,Pending Activation,1/29/2018,12/14/2020
ACC775434793,702-58-2838,25,Inactive,7/19/2016,3/31/2018
ACC365312915,366-67-0216,40,In Review,11/9/2020,10/6/2011
ACC055348599,785-80-4695,71,Restricted,8/12/2019,3/23/2015
ACC228477289,654-30-6134,81,Suspended,7/14/2018,2/3/2017
ACC703614401,763-20-7749,13,Closed,1/25/2020,1/28/2014
ACC389201195,611-29-2776,9,Restricted,8/1/2020,1/27/2011
ACC772990872,269-71-6547,78,Suspended,12/21/2015,6/28/2019
ACC620486998,192-55-0420,70,Dormant,3/7/2015,5/15/2011
ACC587965232,832-63-4875,66,Active,9/23/2020,3/27/2017
ACC730981357,882-30-1675,21,Closed,1/25/2012,6/9/2020
ACC957164646,176-82-6543,2,Suspended,5/22/2021,8/17/2014
ACC877001673,490-76-3618,78,Pending Activation,10/8/2015,6/2/2013
ACC583961919,497-94-2225,13,Pending Activation,11/10/2021,6/14/2011
ACC329272757,526-47-3815,90,Dormant,3/30/2012,2/19/2015
ACC990350651,475-24-7548,47,Archived,4/27/2013,9/4/2019
ACC650152320,158-32-3285,26,Archived,9/17/2010,6/9/2020
ACC860745637,291-23-3142,63,Active,1/23/2012,3/25/2017
ACC657568423,398-74-8575,27,Restricted,11/11/2019,11/4/2020
ACC763357174,813-22-2252,33,Restricted,11/8/2016,9/26/2017
ACC910320868,855-69-8731,50,Archived,2/26/2020,7/6/2016
ACC051306836,817-22-9664,67,Inactive,11/8/2021,8/19/2012
ACC485907718,798-75-6596,39,Suspended,6/16/2016,8/13/2020
ACC687910591,230-79-0511,28,Archived,8/13/2015,2/8/2018
ACC312500199,852-44-3113,87,Dormant,6/9/2015,5/22/2011
ACC815571990,850-49-5357,58,Closed,2/23/2020,11/10/2013
ACC887332409,586-70-4628,94,Inactive,4/6/2021,6/7/2021
ACC927792028,240-53-5770,68,Closed,10/7/2010,6/28/2019
ACC733838324,333-95-4817,39,Suspended,12/11/2013,12/23/2015
ACC287377888,358-64-7392,63,Archived,11/27/2018,7/21/2011
ACC946500907,438-17-9370,38,Active,5/22/2020,9/25/2020
ACC867118013,785-51-7143,54,Active,7/25/2021,11/23/2021
ACC055321541,839-73-6465,78,Dormant,4/3/2012,10/28/2015
ACC740849211,598-35-9246,65,Closed,12/11/2014,1/4/2016
ACC614622323,823-30-1230,49,Closed,5/16/2020,11/6/2013
ACC570955966,464-17-5401,46,On Hold,6/24/2018,10/12/2018
ACC999010258,397-69-2805,71,Restricted,1/13/2011,7/26/2018
ACC202019336,355-88-3336,22,Dormant,3/11/2021,11/5/2010
ACC497140591,516-66-2963,34,Closed,8/13/2012,7/27/2020
ACC531356714,369-81-1487,36,In Review,2/15/2017,4/11/2020
ACC166178548,306-38-5502,2,In Review,8/19/2019,3/24/2011
ACC176263394,437-05-5776,22,Archived,8/21/2012,1/20/2019
ACC252909187,718-74-5720,48,Pending Activation,1/13/2012,6/11/2017
ACC248774358,654-18-2473,95,Pending Activation,2/28/2018,7/17/2012
ACC811732846,135-41-7841,7,In Review,11/28/2015,1/6/2021
ACC515373402,255-68-1656,71,Dormant,8/28/2014,11/6/2013
ACC501465727,185-30-3761,91,Inactive,2/1/2020,7/26/2011
ACC588512487,388-12-2867,99,On Hold,12/28/2010,5/14/2011
ACC694121024,646-41-5274,88,Restricted,8/17/2021,8/22/2016
ACC497167179,708-86-3495,18,Suspended,12/26/2019,4/8/2020
ACC574874444,276-40-7872,2,Closed,12/15/2017,8/6/2021
ACC953058902,652-03-3892,34,Restricted,6/18/2012,3/1/2011
ACC750666075,196-54-1574,65,On Hold,9/3/2015,6/15/2012
ACC327392196,715-21-2599,34,Closed,10/9/2012,10/15/2021
ACC413796509,577-06-7349,71,Inactive,10/19/2018,10/29/2016
ACC016251499,669-21-2016,37,On Hold,4/4/2014,7/28/2017
ACC806060836,544-24-0933,27,Closed,8/18/2020,2/14/2012
ACC400552780,722-71-1318,34,Closed,9/14/2020,12/21/2011
ACC947531137,128-62-7754,62,Dormant,3/27/2012,3/25/2011
ACC443277213,728-14-0129,66,On Hold,9/16/2016,11/14/2018
ACC410948680,246-90-2950,85,Closed,6/2/2018,12/6/2012
ACC452990479,583-97-0250,51,Active,6/3/2019,7/6/2010
ACC726942101,523-82-8204,50,Archived,7/14/2016,5/2/2013
ACC066919884,828-78-2030,24,Closed,3/20/2017,3/10/2017
ACC249857871,404-02-1511,59,On Hold,11/3/2019,4/11/2021
ACC848897682,210-89-3094,25,Closed,10/6/2019,6/14/2019
ACC371492523,245-88-6897,77,Active,6/24/2010,1/3/2012
ACC357665921,364-25-4233,4,Closed,6/17/2014,7/17/2015
ACC701677859,183-45-4464,7,Closed,12/28/2016,9/1/2012
ACC230707465,497-69-4479,70,Archived,12/10/2020,10/7/2015
ACC503774483,894-74-3017,84,Inactive,4/26/2020,10/21/2020
ACC728659094,823-65-3803,38,Pending Activation,12/16/2014,9/23/2014
ACC232550059,540-22-7915,59,Suspended,4/18/2015,2/14/2012
ACC469278890,364-72-1852,48,Dormant,8/17/2020,6/29/2017
ACC681494929,126-24-4950,42,Suspended,11/15/2013,8/7/2019
ACC695966247,618-55-6387,19,Dormant,11/8/2013,3/5/2018
ACC733184241,707-40-1856,93,Pending Activation,7/31/2016,5/27/2010
ACC438449296,418-89-3022,43,Pending Activation,7/22/2016,1/15/2019
ACC224117901,659-84-4620,60,Pending Activation,4/15/2015,7/13/2021
ACC796378748,582-36-2711,37,Inactive,1/9/2010,11/25/2017
ACC119651337,522-10-6832,97,Suspended,12/4/2015,9/6/2017
ACC335859072,236-25-2001,75,On Hold,1/21/2012,8/23/2012
ACC976571577,249-61-0560,93,Active,2/15/2020,9/30/2011
ACC592054243,518-58-6058,44,Pending Activation,12/18/2016,7/29/2013
ACC302425592,893-99-9702,73,Pending Activation,11/6/2010,9/13/2017
ACC890934174,499-72-2020,23,Archived,12/23/2017,2/8/2011
ACC731455188,358-44-0561,87,Inactive,4/5/2014,6/29/2021
ACC270902981,639-24-8395,46,Inactive,9/15/2011,7/22/2010
ACC573636319,489-30-7648,30,Pending Activation,3/1/2015,5/15/2015
ACC035835463,111-56-1286,35,Dormant,1/7/2020,6/25/2011
ACC714644735,299-61-2000,19,On Hold,12/8/2015,5/25/2011
ACC338574768,118-89-3671,91,Suspended,9/11/2017,9/26/2018
ACC488258629,728-88-9032,66,Inactive,11/22/2017,3/6/2016
ACC079802764,239-74-6858,76,Archived,7/4/2021,9/21/2014
ACC323440559,765-98-1140,66,Restricted,12/29/2020,9/6/2020
ACC017915187,675-38-5467,54,Pending Activation,5/17/2016,7/18/2014
ACC325601810,287-91-0644,51,Active,6/7/2012,7/28/2011
ACC203008745,529-86-3176,39,Restricted,4/20/2011,1/18/2015
ACC850690576,216-37-2957,62,Suspended,3/29/2020,5/30/2019
ACC362316235,478-48-7443,36,Inactive,3/2/2016,1/25/2011
ACC003328374,823-10-6623,15,In Review,10/23/2010,8/7/2020
ACC270015296,643-53-4676,25,Archived,3/25/2017,2/23/2017
ACC972753737,489-53-3937,83,Restricted,5/30/2012,3/25/2017
ACC630959436,200-03-6558,39,On Hold,4/30/2019,2/4/2010
ACC543198569,700-90-8678,82,In Review,8/29/2016,2/11/2019
ACC744911277,572-54-4752,37,Pending Activation,1/15/2020,11/26/2013
ACC936094874,532-85-3774,81,Archived,2/18/2014,3/17/2010
ACC465361345,394-39-8605,82,Archived,9/4/2018,2/23/2020
ACC024059884,757-73-4552,70,On Hold,2/9/2021,4/15/2013
ACC633972648,210-55-3341,62,Active,7/6/2012,1/19/2011
ACC236692949,759-86-2057,5,In Review,2/6/2013,2/28/2019
ACC950197984,381-63-5242,85,Archived,5/29/2013,11/17/2015
ACC123599303,713-35-1652,35,Pending Activation,5/24/2011,1/26/2020
ACC465393317,761-99-8936,91,On Hold,6/16/2016,10/11/2011
ACC573194795,808-70-3145,95,In Review,7/10/2021,10/12/2021
ACC330398746,688-16-5212,66,On Hold,11/29/2016,4/9/2021
ACC176276684,209-96-9359,75,Restricted,11/7/2017,7/31/2016
ACC337390581,122-55-4301,64,Active,9/6/2017,12/23/2010
ACC806826299,880-34-9229,27,Archived,4/21/2021,10/14/2011
ACC258179170,891-27-9474,8,Inactive,6/22/2017,5/30/2010
ACC438858403,517-96-6739,88,Pending Activation,8/4/2017,11/22/2020
ACC026423317,382-44-9399,43,Pending Activation,6/15/2016,3/1/2018
ACC662835179,839-58-2834,7,Restricted,6/3/2010,2/3/2012
ACC675296091,176-29-9474,70,Restricted,1/13/2021,10/10/2016
ACC985009417,184-63-4040,87,Inactive,6/11/2019,1/8/2013
ACC846828686,531-23-0072,57,In Review,1/14/2013,8/22/2016
ACC933227666,774-26-8823,1,Suspended,6/10/2020,5/19/2018
ACC858964705,763-53-6518,78,Pending Activation,12/10/2010,9/7/2021
ACC548929324,691-77-5024,23,On Hold,1/5/2018,12/19/2019
ACC948435347,879-95-0564,21,Suspended,4/19/2021,8/14/2020
ACC772990429,564-94-0410,9,Pending Activation,2/4/2012,5/12/2013
ACC402689632,793-39-8139,79,Dormant,11/20/2020,11/20/2014
ACC718268850,894-52-6177,89,Active,5/28/2010,5/30/2010
ACC690246086,218-06-0719,53,Closed,7/4/2017,1/7/2019
ACC475067419,107-43-5220,32,Suspended,8/15/2012,2/27/2018
ACC415930098,347-70-3337,4,In Review,11/23/2011,6/4/2012
ACC376250317,663-87-5520,50,Suspended,3/6/2018,11/22/2010
ACC390350530,204-89-0224,44,In Review,3/29/2019,12/14/2013
ACC167143970,558-37-9929,79,Suspended,7/9/2020,4/11/2013
ACC730729499,136-67-3745,92,Archived,2/5/2019,8/14/2016
ACC702705624,546-41-7510,22,On Hold,8/26/2017,6/19/2013
ACC113636626,610-58-6143,57,Closed,12/30/2016,8/10/2010
ACC935209357,338-59-2665,97,Archived,10/26/2017,7/19/2021
ACC248210940,457-60-9652,32,Suspended,7/19/2012,2/25/2016
ACC528277000,639-59-5909,87,Restricted,1/22/2011,11/7/2018
ACC845224668,423-50-6409,46,In Review,4/12/2017,11/13/2014
ACC891781770,739-86-6514,79,Active,6/19/2020,11/7/2013
ACC306705426,498-96-5310,59,Suspended,11/27/2021,4/27/2014
ACC576989939,718-24-9799,48,In Review,4/21/2013,11/11/2019
ACC634725302,294-47-6704,23,Active,6/30/2014,12/8/2016
ACC038767351,350-82-8206,32,Archived,5/4/2017,9/25/2013
ACC889377330,628-62-2747,80,Closed,5/13/2018,12/25/2020
ACC709309526,320-47-9640,78,Closed,10/13/2010,6/28/2016
ACC118014048,622-30-1101,71,Restricted,9/6/2011,3/27/2014
ACC978857738,739-24-3156,88,Inactive,9/24/2010,12/2/2018
ACC893353161,527-99-2794,38,Restricted,1/17/2016,12/8/2011
ACC203555986,496-14-7512,76,On Hold,1/9/2011,10/7/2019
ACC343597963,411-70-2321,12,Archived,8/3/2015,6/1/2014
ACC333175889,111-48-5399,55,Dormant,9/19/2010,5/17/2019
ACC249836725,897-52-4675,53,Dormant,8/12/2014,9/2/2012
ACC489916304,200-58-1564,38,Archived,4/12/2016,2/14/2013
ACC059776215,306-27-1825,82,Closed,2/23/2013,12/20/2021
ACC729977378,309-54-2863,94,Dormant,8/27/2014,3/10/2021
ACC834886968,152-22-1318,36,Inactive,12/20/2021,4/13/2010
ACC137715496,818-19-8936,12,Active,11/29/2020,6/3/2012
ACC272030912,754-98-7758,7,On Hold,7/2/2010,10/17/2015
ACC103074445,591-31-9549,46,In Review,8/21/2020,5/25/2010
ACC270862900,622-11-1615,36,Suspended,6/25/2020,11/2/2020
ACC225257402,359-32-2507,24,Inactive,4/24/2015,3/6/2010
ACC980898672,701-70-7269,29,In Review,8/18/2016,12/22/2019
ACC760074865,329-77-4299,64,Dormant,6/1/2017,1/6/2018
ACC076137983,418-14-3526,89,On Hold,2/17/2020,9/2/2020
ACC229242828,323-31-8610,61,Suspended,7/8/2019,12/1/2016
ACC276489861,458-86-6572,15,Restricted,3/25/2013,4/11/2016
ACC077322369,364-16-6383,61,Inactive,4/14/2011,8/29/2020
ACC444726447,730-87-9665,83,Inactive,2/9/2010,7/8/2021
ACC704876180,129-65-4400,19,In Review,10/5/2013,2/14/2015
ACC508912049,471-25-7860,73,Active,7/16/2021,9/16/2015
ACC919691027,111-55-7156,92,Restricted,3/4/2019,2/23/2017
ACC791728739,347-30-3861,93,Closed,8/2/2018,4/10/2015
ACC537666453,117-05-3734,40,Suspended,4/12/2021,5/19/2011
ACC010035796,160-36-8380,1,On Hold,5/11/2019,9/10/2014
ACC956788042,268-49-2117,71,Archived,1/21/2016,5/25/2011
ACC008734641,218-76-2737,40,In Review,9/2/2020,9/3/2016
ACC476007339,618-40-5613,13,Suspended,12/28/2020,12/10/2019
ACC392696870,409-48-5094,91,Inactive,6/10/2012,8/27/2020
ACC980118658,402-80-4525,52,Closed,7/4/2021,2/2/2016
ACC276674925,469-47-1784,76,Active,7/17/2011,7/19/2011
ACC897782801,831-61-9528,39,Dormant,8/24/2014,10/16/2016
ACC857164813,348-24-6506,74,Pending Activation,2/21/2018,11/21/2012
ACC465047153,144-57-2660,26,Pending Activation,4/16/2016,1/8/2019
ACC288427453,531-95-5982,19,Dormant,1/28/2021,12/9/2016
ACC203259982,233-66-6121,13,Archived,9/11/2011,3/17/2016
ACC949521257,590-14-9022,77,Archived,5/24/2021,11/9/2018
ACC943321980,544-08-8528,67,Pending Activation,5/17/2015,9/28/2019
ACC187634157,527-90-6987,43,Closed,8/22/2010,5/26/2010
ACC239489222,120-96-4953,86,On Hold,3/26/2020,7/13/2018
ACC963279835,146-24-4332,40,Pending Activation,6/20/2012,9/6/2017
ACC614339883,492-69-2793,89,Closed,3/16/2020,12/29/2016
ACC678090780,755-42-1537,99,Closed,1/17/2016,9/12/2019
ACC763538508,405-95-7014,57,Pending Activation,12/4/2014,1/8/2010
ACC184804690,472-83-8236,26,Inactive,9/16/2021,3/11/2020
ACC583647446,899-27-0997,10,Closed,9/4/2020,3/10/2010
ACC736450537,281-81-1398,40,Suspended,11/14/2012,4/26/2020
ACC014719391,108-98-3421,79,Archived,4/23/2021,6/11/2020
ACC839829028,675-06-9696,65,Closed,8/19/2013,1/27/2012
ACC421122311,578-15-9306,63,Inactive,3/22/2012,4/12/2020
ACC212510449,674-16-7205,64,Dormant,10/20/2019,1/16/2016
ACC035971852,882-39-2517,33,Dormant,1/16/2018,5/4/2012
ACC600001974,271-25-6631,4,Restricted,9/5/2017,2/27/2016
ACC008732378,339-55-1734,21,Closed,3/14/2013,6/13/2020
ACC324839008,815-54-1401,54,Restricted,7/7/2011,12/26/2017
ACC554597453,559-35-0106,64,Dormant,5/14/2012,1/12/2020
ACC717274075,718-09-6017,87,Closed,7/24/2019,2/22/2010
ACC041616534,143-46-2783,46,Inactive,11/19/2020,5/17/2011
ACC261085435,125-09-8565,86,Inactive,1/16/2014,1/21/2016
ACC781210047,757-12-1999,90,Active,10/5/2016,12/10/2011
ACC903076044,502-99-6386,13,Inactive,10/3/2015,7/24/2021
ACC961033015,531-33-4224,49,Restricted,3/27/2018,4/9/2011
ACC852826794,469-65-9333,92,Closed,4/8/2012,5/5/2017
ACC476703032,797-77-9625,93,Restricted,6/21/2012,2/20/2020
ACC215285933,194-66-7196,4,Active,9/28/2010,5/3/2016
ACC663583806,410-38-8800,67,In Review,8/15/2018,8/10/2021
ACC197563715,684-74-3063,70,Pending Activation,9/3/2014,5/21/2019
ACC011841799,533-14-4484,24,Suspended,1/18/2016,7/12/2012
ACC566712170,576-62-9974,80,Dormant,9/8/2020,2/13/2019
ACC133742006,881-05-3396,31,Active,3/24/2016,9/7/2011
ACC796545355,154-64-7050,27,Dormant,8/21/2021,7/14/2014
ACC627896716,173-51-2644,85,Active,9/11/2020,5/5/2015
ACC787109789,400-21-1001,66,Active,1/7/2012,12/3/2020
ACC716606676,572-26-6323,73,In Review,3/17/2016,5/8/2021
ACC022092093,817-05-6507,88,Closed,6/10/2011,7/23/2017
ACC046971907,860-28-1868,37,Archived,4/3/2018,6/4/2011
ACC652765883,309-34-1587,47,Suspended,2/28/2018,5/6/2014
ACC512108605,691-85-1701,5,Restricted,12/8/2014,12/21/2016
ACC963185463,373-10-7441,86,Inactive,12/5/2013,5/10/2016
ACC648310012,290-40-6634,47,On Hold,7/6/2010,3/13/2012
ACC932564836,674-28-9722,9,Suspended,12/20/2010,1/22/2020
